sheet	row	col	text	class	去向	lint_detail
Test Case Specification 測試用例規範	12	proc	"1. Select ""EPB Maintenance Mode"" = ""On"" to trigger $TELEMATIC_VEHICLE_SETUP2.EPB"	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$'
Test Case Specification 測試用例規範	13	pre	3. The signal $IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$ is 0 (Off)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$'
Test Case Specification 測試用例規範	13	proc	3. Read the signal $IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$ and check that it is	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$'
Test Case Specification 測試用例規範	13	er	1. The signal $IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$ = 1 (On) is registered wi	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$'
Test Case Specification 測試用例規範	14	proc	"1. Select ""EPB Maintenance Mode"" = ""On"" to trigger $TELEMATIC_VEHICLE_SETUP2.EPB"	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$'
Test Case Specification 測試用例規範	14	proc	2. Send the signal $IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$ = 2	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$'
Test Case Specification 測試用例規範	14	er	2. The signal $IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$ = 2 is registered withou	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$'
Test Case Specification 測試用例規範	15	proc	"1. Select ""EPB Maintenance Mode"" = ""On"" to trigger $TELEMATIC_VEHICLE_SETUP2.EPB"	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$'
Test Case Specification 測試用例規範	15	proc	2. Send the signal $IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$ = 3	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$'
Test Case Specification 測試用例規範	15	er	2. The signal $IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$ = 3 is registered withou	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$'
