# vm_axis_plan.tsv —— CMF-03_A §2（只出 plan，不填）。每列＝一條 TC × 其 PC 所載之一個配置軸。
# **不作「PROXI 值 → 該 TC 適用與否」之判定**，三台之值只並列。Dec 與 PROXI Read 不一致者兩值並列。
# literal_match：該台之 PROXI label 字面出現於該 PC 行者列其名；否則 none。
# 出處：features/comfort/docs/reports/proxi_axis_values.tsv（CMF-02 §5-1，唯讀）。
tc_id	req_id	axis	proxi_parameter	pc_line_verbatim	proxi_Promaster	proxi_Toro	proxi_Fastback	literal_match
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	Tri-Mode	HVAC_Mode_Type	The vehicle is equipped with Tri-Mode climate	Dec=0 (No Trimode)	ABSENT	ABSENT	none
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	Tri-Mode	HVAC_Mode_Type	The vehicle is equipped with Tri-Mode climate	Dec=0 (No Trimode)	ABSENT	ABSENT	none
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	Tri-Mode	HVAC_Mode_Type	The vehicle is equipped with Tri-Mode climate	Dec=0 (No Trimode)	ABSENT	ABSENT	none
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	ICS	Integrated_Climate_Touchscreen	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=1 (Present)	Dec=1 (Present) / PROXI Read=(empty)	Dec=1 (Present)	none
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	EMEA ICS	(無 PROXI 參數)	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	(無 PROXI 參數)	(無 PROXI 參數)	(無 PROXI 參數)	none
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	knob 型態	Climate_Panel_Type	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Dec=7 (No knobs)	Dec=6 (3 knobs) / PROXI Read=(empty)	Dec=0 (Only blower knob) / PROXI Read=7	none
