path	line	rg_id	side	basis	line_text
docs/fw036/CFTS_EMBEDDED_OBJECTS_SCAN.md	1	R-G28	FO	CONTEXT_KW	# CFTS Embedded Objects — 全 feature 查核表（R-G28 追溯適用第一段）
docs/fw036/CFTS_EMBEDDED_OBJECTS_SCAN.md	4	R-G28	AMBIGUOUS	NO_KW	> 其產物為**今天之事實**，**不表述為「當時已查」**（`FO §9.2 R-G28` 追溯適用之拘束，
docs/fw036/CFTS_EMBEDDED_OBJECTS_SCAN.md	88	R-G28	AMBIGUOUS	NO_KW	- **各 feature 側之記錄**：R-G28 令記入「各該 feature 之 `RECON.md` 或等價處」。
docs/fw036/FEATURE_ONBOARDING.md	24	R-G28	FO	SELF_FILE	- **CFTS 嵌入物件之檢查（R-G28，Pei 2026-08-30，全域）**：intake 時須查
docs/fw036/FEATURE_ONBOARDING.md	29	R-G28	FO	SELF_FILE	條文與其成因見 FO §9.2 R-G28。
docs/fw036/FEATURE_ONBOARDING.md	295	R-G18	FO	SELF_FILE	> 而全案有數十處以「canon」加裸節號指向它們之引用（依 R-G18，今應書
docs/fw036/FEATURE_ONBOARDING.md	526	R-G13	FO	SELF_FILE	| 裁決引用 | 依 **R-G13** 之引用制：`R-XX@<sha8>`，執行層自 repo 讀原文並回報所讀 sha8。得另附原文（附了不算錯）| 執行層依編號猜內容 |
docs/fw036/FEATURE_ONBOARDING.md	536	R-G13	FO	SELF_FILE	**[SUPERSEDED by R-G13 — 逐字照錄之要求部分]**（2026-08-24，23 包 §D）：
docs/fw036/FEATURE_ONBOARDING.md	631	R-G14	FO	SELF_FILE	- **一批一上繳**，前批未覆核不得開下批 —— **除 R-G14 綠色通道生效期間**（FO §9.2）
docs/fw036/FEATURE_ONBOARDING.md	650	R-G18	FO	SELF_FILE	以「canon」加裸 §9.1 之引用因而歧義。整併後**每一節號唯一**（R-G18）。
docs/fw036/FEATURE_ONBOARDING.md	667	R-G27	FO	SELF_FILE	| 9.2 | 全域裁決條文 R-G1 ～ R-G27 | 原第一個 §9 之 §9.2 **併** 第二個 §9 之 §9.1 |
docs/fw036/FEATURE_ONBOARDING.md	701	R-G27	FO	SELF_FILE	### 9.2 全域裁決條文 R-G1 ～ R-G27
docs/fw036/FEATURE_ONBOARDING.md	703	R-G12	FO	SELF_FILE	**本節為 R-G 系列之單一落點。** 整併前 R-G1～R-G12 有兩個表（原第一個 §9 之
docs/fw036/FEATURE_ONBOARDING.md	713	R-G13	FO	SELF_FILE	`docs/fw036/RULINGS.sha.tsv`，供 R-G13 之 `R-Gn@<sha8>` 引用。
docs/fw036/FEATURE_ONBOARDING.md	728	R-G12	FO	SELF_FILE	| R-G12 | `git commit` 一律帶 pathspec | 37 輪 |
docs/fw036/FEATURE_ONBOARDING.md	729	R-G13	FO	SELF_FILE	| R-G13 | 裁決引用制（取代逐字照錄）| 23 包 §D，Pei 2026-08-24 |
docs/fw036/FEATURE_ONBOARDING.md	730	R-G14	FO	SELF_FILE	| R-G14 | 綠色通道（一批一上繳之例外）| 同上 |
docs/fw036/FEATURE_ONBOARDING.md	731	R-G15	FO	SELF_FILE	| R-G15 | Pilot 退出準則 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	732	R-G16	FO	SELF_FILE	| R-G16 | 預期數字自動生成 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	733	R-G17	FO	SELF_FILE	| R-G17 | 閘登錄簿與除役 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	734	R-G18	FO	SELF_FILE	| R-G18 | canon 引用唯一可解析 | 同上，措辭依 24 包 §C 裁定 2 |
docs/fw036/FEATURE_ONBOARDING.md	735	R-G19	FO	SELF_FILE	| R-G19 | prompt 指紋 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	736	R-G20	FO	SELF_FILE	| R-G20 | 規則副本同步指紋 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	737	R-G21	FO	SELF_FILE	| R-G21 | 自查表機檢對映 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	738	R-G22	FO	SELF_FILE	| R-G22 | 條文之任何字元變動皆變更其 sha | 25 包 §C 裁定 C，Pei 2026-08-24 |
docs/fw036/FEATURE_ONBOARDING.md	739	R-G23	FO	SELF_FILE	| R-G23 | 同一工單同時只得有一份有效下放包 | 26 包 §C [DEFAULT]，待 Pei 追認 |
docs/fw036/FEATURE_ONBOARDING.md	740	R-G23	FO	SELF_FILE	| R-G23′ | 單一來源擴至每條線；取號一律 live | 27 包 §二，Pei 裁定 2026-08-24（出處 V33 裁定記錄 4）|
docs/fw036/FEATURE_ONBOARDING.md	741	R-G24	FO	SELF_FILE	| R-G24 | 下放指示之路徑實在性 | bed_lowering 01 包，Pei 裁定 2026-08-26 |
docs/fw036/FEATURE_ONBOARDING.md	742	R-G25	FO	SELF_FILE	| R-G25 | 產出物目錄政策 | 27 包 §C，Pei 裁定 2026-08-24（換號 08-27）|
docs/fw036/FEATURE_ONBOARDING.md	743	R-G26	FO	SELF_FILE	| R-G26 | 工作區清理制 | 同上 |
docs/fw036/FEATURE_ONBOARDING.md	744	R-G27	FO	SELF_FILE	| R-G27 | 來源集中制（`sources/`）| 同上 |
docs/fw036/FEATURE_ONBOARDING.md	745	R-G28	FO	SELF_FILE	| R-G28 | CFTS 嵌入物件之逐 feature 檢查 | sw_update 53／54 包，Pei 裁定 2026-08-30 |
docs/fw036/FEATURE_ONBOARDING.md	746	R-G29	FO	SELF_FILE	| R-G29 | 條文須加框（`body_kind` 不變式） | sw_update 59 包，**分析層 [DEFAULT] 2026-08-30，Pei 得推翻** |
docs/fw036/FEATURE_ONBOARDING.md	824	R-G12	FO	SELF_FILE	#### R-G12 — `git commit` 一律帶 pathspec
docs/fw036/FEATURE_ONBOARDING.md	833	R-G13	FO	SELF_FILE	#### R-G13 — 裁決引用制（取代 FO §8.1「裁決逐字照錄」）
docs/fw036/FEATURE_ONBOARDING.md	836	R-G13	FO	SELF_FILE	R-G13：裁決條文集中於各 feature 之 RULINGS.md 與 canon §9，每條具穩定
docs/fw036/FEATURE_ONBOARDING.md	846	R-G21	FO	SELF_FILE	> **條文逐字不改**，其實指以本註記錄（同 R-G21 之處置）；
docs/fw036/FEATURE_ONBOARDING.md	852	R-G13	FO	SELF_FILE	R-G13 之上繳回報：逐條表列 `ruling_id | 下放引用 sha8 | 實讀 sha8 | 判`，
docs/fw036/FEATURE_ONBOARDING.md	853	R-G13	FO	SELF_FILE	相符者亦列（FO §8.2 精神）。不符者依 R-G13 停下回報。
docs/fw036/FEATURE_ONBOARDING.md	856	R-G14	FO	SELF_FILE	#### R-G14 — 綠色通道（FO §8.8 之例外）
docs/fw036/FEATURE_ONBOARDING.md	859	R-G14	FO	SELF_FILE	R-G14：post-pilot Phase 6 批次，連續 3 批同時滿足
docs/fw036/FEATURE_ONBOARDING.md	864	R-G14	FO	SELF_FILE	重新累計。§8.8「一批一上繳」加註「除 R-G14 生效期間」。
docs/fw036/FEATURE_ONBOARDING.md	867	R-G15	FO	SELF_FILE	#### R-G15 — Pilot 退出準則
docs/fw036/FEATURE_ONBOARDING.md	870	R-G15	FO	SELF_FILE	R-G15：pilot 判定以 done-region check 後之分類計：
docs/fw036/FEATURE_ONBOARDING.md	882	R-G16	FO	SELF_FILE	#### R-G16 — 預期數字自動生成
docs/fw036/FEATURE_ONBOARDING.md	885	R-G16	FO	SELF_FILE	R-G16：下放包之預期數字表由 `scripts/expected_numbers.py` 自
docs/fw036/FEATURE_ONBOARDING.md	891	R-G17	FO	SELF_FILE	#### R-G17 — 閘登錄簿與除役
