token	pos	class	bound_form	bound_value	exhaustive_marker	verdict_source	reason	tail
$DriverSide$	256766	(a)			false	判準		 signal value shall have no impact on the Heated and Vented seat switch behavior
$DriverSide$	553796	(a)			false	判準		 signal value shall have no impact on the Heated and Vented seat switch behavior
$DriverSide$	741056	(a)			false	判準		 PROXI value shall have no impact on the Heated and Vented seat switch behavior.
$DriverSide$	756568	(a)			false	判準		 PROXI value shall have no impact on the Heated and Vented seat switch behavior.
$ESS_ENG_ST$	75672	(a)			false	判準		 signal.  4858043: [Artifact Type:Subsystem Functional Requirement] [State:New] 
$ESS_ENG_ST$	75987	(a)			false	判準		 signal to determine if the Engine_OFF condition is a result of the vehicle ente
$ESS_ENG_ST$	253230	(a)			false	判準		 signal.  4858550: [Artifact Type:Subsystem Functional Requirement] [State:New] 
$ESS_ENG_ST$	253584	(a)			false	判準		 signal to determine if a change in $EngRun_Stat$ is a result of the vehicle ent
$ESS_ENG_ST$	298877	(a)			false	判準		 signal.  4858705: [Artifact Type:Subsystem Functional Requirement] [State:New] 
$ESS_ENG_ST$	299117	(a)			false	判準		 signal to determine if a change in $EngRun_Stat$ is a result of the vehicle ent
$EngRun_Stat$	253201	(a)			false	判準		 signal and the $ESS_ENG_ST$ signal.  4858550: [Artifact Type:Subsystem Function
$EngRun_Stat$	298848	(a)			false	判準		 signal and the $ESS_ENG_ST$ signal.  4858705: [Artifact Type:Subsystem Function
$FL_HS_RQ$	165527	(a)			false	判準		 depending on the current status of $HeatedSeatFL$. The signal value to be sent 
$FL_HS_RQ$	712382	(a)			false	判準		 AND $FL_HS_RQ2$ to the higher value.  4859994: [Artifact Type:Subsystem Functio
$FL_VS_RQ_TGW$	190997	(a)			false	判準		 depending on the current status of $VentedSeatFL$. The signal value to be sent 
$FL_VS_RQ_TGW$	713436	(a)			false	判準		 AND $FL_VS_RQ_TGW2$ to the higher value.  4859997: [Artifact Type:Subsystem Fun
$FR_HS_RQ$	178300	(a)			false	判準		 depending on the current status of $HeatedSeatFR$. The signal value to be sent 
$FR_VS_RQ_TGW$	204192	(a)			false	判準		 depending on the current status of $VentedSeatFR$. The signal value to be sent 
$HSW_RQ_TGW$	247971	(a)			false	判準		 depending on the current status of $HSW_Stat_2$. The signal value to be sent is
