sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification&Result	10	12	NR1L-PowerManagement-001	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	10	13	NR1L-PowerManagement-001	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	11	12	NR1L-PowerManagement-002	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	11	13	NR1L-PowerManagement-002	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	12	12	NR1L-PowerManagement-003	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	12	13	NR1L-PowerManagement-003	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	13	12	NR1L-PowerManagement-004	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	13	13	NR1L-PowerManagement-004	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	14	12	NR1L-PowerManagement-005	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 5 (Ignition_Pre_Start)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 5 (Ignition_Pre_Start)	Y
Test Case Specification&Result	14	12	NR1L-PowerManagement-005	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	14	13	NR1L-PowerManagement-005	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	15	12	NR1L-PowerManagement-006	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 6 (Ignition_Start)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 6 (Ignition_Start)	Y
Test Case Specification&Result	15	12	NR1L-PowerManagement-006	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	15	13	NR1L-PowerManagement-006	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	16	12	NR1L-PowerManagement-007	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 7 (Ignition_Cranking)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 7 (Ignition_Cranking)	Y
Test Case Specification&Result	16	12	NR1L-PowerManagement-007	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	16	13	NR1L-PowerManagement-007	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	17	12	NR1L-PowerManagement-008	P-v3→v4:send	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 8 (Ignition_On_EngOn)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 8 (Ignition_On_EngOn)	Y
Test Case Specification&Result	17	12	NR1L-PowerManagement-008	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	17	13	NR1L-PowerManagement-008	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	21	12	NR1L-PowerManagement-012	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	21	13	NR1L-PowerManagement-012	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	Y
Test Case Specification&Result	22	12	NR1L-PowerManagement-013	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	22	13	NR1L-PowerManagement-013	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	Y
Test Case Specification&Result	25	12	NR1L-PowerManagement-016	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	Y
Test Case Specification&Result	25	12	NR1L-PowerManagement-016	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	25	13	NR1L-PowerManagement-016	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	Y
Test Case Specification&Result	26	12	NR1L-PowerManagement-017	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	Y
Test Case Specification&Result	26	12	NR1L-PowerManagement-017	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	26	13	NR1L-PowerManagement-017	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	Y
Test Case Specification&Result	27	12	NR1L-PowerManagement-018	P-v3→v4:send	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	Y
Test Case Specification&Result	27	12	NR1L-PowerManagement-018	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	27	13	NR1L-PowerManagement-018	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 7 (Partial_Operation) is sent	Y
Test Case Specification&Result	31	12	NR1L-PowerManagement-022	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	31	13	NR1L-PowerManagement-022	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	32	12	NR1L-PowerManagement-023	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	32	13	NR1L-PowerManagement-023	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	33	12	NR1L-PowerManagement-024	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	33	13	NR1L-PowerManagement-024	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	34	12	NR1L-PowerManagement-025	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	34	12	NR1L-PowerManagement-025	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	34	13	NR1L-PowerManagement-025	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	35	12	NR1L-PowerManagement-026	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	35	13	NR1L-PowerManagement-026	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	39	12	NR1L-PowerManagement-030	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	39	13	NR1L-PowerManagement-030	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	40	12	NR1L-PowerManagement-031	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	40	13	NR1L-PowerManagement-031	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	41	12	NR1L-PowerManagement-032	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	41	13	NR1L-PowerManagement-032	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	42	12	NR1L-PowerManagement-033	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	42	13	NR1L-PowerManagement-033	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	43	12	NR1L-PowerManagement-034	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	43	13	NR1L-PowerManagement-034	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	44	12	NR1L-PowerManagement-035	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	44	13	NR1L-PowerManagement-035	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	45	12	NR1L-PowerManagement-036	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	45	13	NR1L-PowerManagement-036	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	46	12	NR1L-PowerManagement-037	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	46	13	NR1L-PowerManagement-037	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	Y
Test Case Specification&Result	47	12	NR1L-PowerManagement-038	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	47	13	NR1L-PowerManagement-038	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	Y
Test Case Specification&Result	48	12	NR1L-PowerManagement-039	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	48	13	NR1L-PowerManagement-039	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	Y
Test Case Specification&Result	49	12	NR1L-PowerManagement-040	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	49	13	NR1L-PowerManagement-040	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 0 (Sleep) is received	STATUS_TELEMATIC.PowerSts_Telematic = 0 (Sleep) is sent	Y
