row	col	old_text	new_text	rule
10	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
10	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
11	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
11	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
12	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
12	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
13	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
13	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
14	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 5 (Ignition_Pre_Start)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 5 (Ignition_Pre_Start)	send
14	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
14	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
14	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
15	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 6 (Ignition_Start)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 6 (Ignition_Start)	send
15	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
15	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
15	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
16	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 7 (Ignition_Cranking)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 7 (Ignition_Cranking)	send
16	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
16	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
16	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
17	12	Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 8 (Ignition_On_EngOn)	Send CAN: STATUS_BH_BCM1.OperationalModeSts = 8 (Ignition_On_EngOn)	send
17	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
17	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	recv
17	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
21	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
21	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
22	12	$STATUS_TELEMATIC.PowerSts_Telematic$	（缺 raw(label)，不可機械轉，須查 DBC）	bare-$MSG.Sig$
22	13	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	STATUS_TELEMATIC.PowerSts_Telematic = 3 (Idle) is sent	recv
23	13	is registered without a bus error	（保留；非 v3 記法，R-G70 未廢）	buserror
25	12	Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)	send
