swe_id	family	src_ref	title	desc
SWE1-VC-BlindSpotAlert-002	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-672	Blind Spot Alert	The HMI layer shall send a request to VehicleConfigManager to retrieve the Blind_Spot_Monitoring PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested Blind_Spot_Monitoring value from SystemProperties / HW configuration. The response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer. The HMI layer shall evaluate the received Blind_Spot_Monitoring PROXI value to determine the availability of the Blind Spot Alert feature. If $Blind_Spot_Monitoring$ = [Absent], the LTM or ETM shall not display the Blind Spot Alert customer setting.
SWE1-VC-BlindSpotAlert-003	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-673	Blind Spot Alert	The HMI layer shall send a request to VehicleConfigManager to retrieve the Blind_Spot_Monitoring PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested Blind_Spot_Monitoring value from SystemProperties / HW configuration. The response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer. The HMI layer shall evaluate the received Blind_Spot_Monitoring PROXI value to determine the availability of the Blind Spot Alert feature. If $Blind_Spot_Monitoring$ = [Present], the LTM or ETM shall display the Blind Spot Alert customer setting to allow the customer the ability to modify the setting.
SWE1-VC-BlindSpotAlert-004	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-674	Blind Spot Alert	The HMI layer shall capture the customer selection for the Blind Spot Alert setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.BSDEnable_Req signal value as Not_Enable. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for HW/IPC update. HW supplier shall process the request signal via VHAL interface. The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.
SWE1-VC-BlindSpotAlert-005	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-675	Blind Spot Alert	The HMI layer shall capture the customer selection for the Blind Spot Alert setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.BSDEnable_Req signal value as Enable_LED. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for HW/IPC update. HW supplier shall process the request signal via VHAL interface. The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.
SWE1-VC-BlindSpotAlert-006	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-676	Blind Spot Alert	The HMI layer shall capture the customer selection for the Blind Spot Alert setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.BSDEnable_Req signal value as Enable_LED_Chime. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for HW/IPC update. HW supplier shall process the request signal via VHAL interface. The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.
SWE1-VC-BlindSpotAlert-007	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-677	Blind Spot Alert	HW supplier shall notify the IPC_VEHICLE_SETUP.BSDEnable signal via VHAL interface. CarPropertyService shall receive the IPC_VEHICLE_SETUP.BSDEnable signal from VHAL and forward it to CarPropertyManager. CarPropertyManager shall expose the value to HMI via API interface. The HMI layer shall evaluate the received IPC_VEHICLE_SETUP.BSDEnable signal and update/display the Blind Spot Alert information accordingly within <TDisplay>. Any invalid value shall be considered invalid by HMI.
SWE1-VC-PassiveEntry-009	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-679	Passive Entry	The HMI layer shall send a request to VehicleConfigManager to retrieve the Passive_Entry_Menu PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested Passive_Entry_Menu value from SystemProperties / HW configuration. The response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer. The HMI layer shall evaluate the received Passive_Entry_Menu PROXI value to determine the availability of the Passive Entry feature. If $Passive_Entry_Menu$ = [Absent], the LTM or ETM shall not display the Passive Entry customer setting.
SWE1-VC-PassiveEntry-010	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-680	Passive Entry	The HMI layer shall send a request to VehicleConfigManager to retrieve the Passive_Entry_Menu PROXI configuration. VehicleConfigManager shall communicate with VehicleConfigService, and VehicleConfigService shall check the requested Passive_Entry_Menu value from SystemProperties / HW configuration. The response shall be returned from SystemProperties to VehicleConfigService, then to VehicleConfigManager, and finally to the HMI layer. The HMI layer shall evaluate the received Passive_Entry_Menu PROXI value to determine the availability of the Passive Entry feature. If $Passive_Entry_Menu$ = [Present], the LTM or ETM shall display the Passive Entry customer setting to allow the customer the ability to modify the setting.
SWE1-VC-PassiveEntry-011	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-681	Passive Entry	The HMI layer shall capture the customer selection for the Passive Entry setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req signal value as Off. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for HW/IPC update. HW supplier shall process the request signal via VHAL interface. The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.
SWE1-VC-PassiveEntry-012	Blind Spot Alert_Passive Entry_Phone Repetition_Park Sense_features	SYS-RA-VF230_V1-682	Passive Entry	The HMI layer shall capture the customer selection for the Passive Entry setting and send the request using CarPropertyManager.setProperty() with the TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req signal value as On. CarPropertyService shall receive the request from CarPropertyManager and forward it to VHAL/IVehicle for HW/IPC update. HW supplier shall process the request signal via VHAL interface. The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.
