sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification 測試用例規範	12	12	NR1L-VSM42-003	P-v3→v4:bare	$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$		N
Test Case Specification 測試用例規範	12	13	NR1L-VSM42-003	P-v3→v4:recv	The signal value $TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$ = 1 (On) is received	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req = 1 (On) is sent	Y
Test Case Specification 測試用例規範	13	10	NR1L-VSM42-004	P-v3→v4:bare	$IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$		N
Test Case Specification 測試用例規範	13	12	NR1L-VSM42-004	P-v3→v4:send	Send the signal $IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$ = 1 (On)	Send CAN: IPC_VEHICLE_SETUP2.EPB_MaintenanceMode = 1 (On)	Y
Test Case Specification 測試用例規範	13	13	NR1L-VSM42-004	P-v3→v4:recv	The signal value $IPC_VEHICLE_SETUP2.EPB_MaintenanceMode$ = 1 (On) is received	IPC_VEHICLE_SETUP2.EPB_MaintenanceMode = 1 (On) is sent	Y
Test Case Specification 測試用例規範	14	12	NR1L-VSM42-005	P-v3→v4:bare	$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$		N
Test Case Specification 測試用例規範	14	12	NR1L-VSM42-005	P-v3→v4:bare	$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$		N
Test Case Specification 測試用例規範	14	13	NR1L-VSM42-005	P-v3→v4:recv	The signal value $TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$ = 1 (On) is received	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req = 1 (On) is sent	Y
Test Case Specification 測試用例規範	14	13	NR1L-VSM42-005	P-v3→v4:bare	$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$		N
Test Case Specification 測試用例規範	15	12	NR1L-VSM42-006	P-v3→v4:bare	$TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req$		N
Test Case Specification 測試用例規範	15	12	NR1L-VSM42-006	P-v3→v4:bare	$IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk$		N
