tc_id	req_id	leaf_section	test_set	sibling_tcs	axes	evidence	proposed_split	confidence	rationale
NR1L-RVC-001	SWE-CAM-001	CFTS092-4781640	Startup and Shutdown	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（SYS2 `Description` 全文掃描）
NR1L-RVC-002	SWE-CAM-001	1141	Startup and Shutdown	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（SYS2 `Description` 全文掃描）
NR1L-RVC-003	SWE-CAM-015	1378	Display Arbitration	3	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（SYS2 `Description` 全文掃描）
NR1L-RVC-004	SWE-CAM-015	92	Display Arbitration	1	mode	狀態詞 automatic／reverse	0	L	`automatic`／`manual`／`reverse` 等狀態詞為該來源列之**既有脈絡**（A 本之 Automatic／Manual Display Mode 於 SYS2 本即分列），非同一列內之相異 mode
NR1L-RVC-005	SWE-CAM-016	532	Display Arbitration	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（SYS2 `Description` 全文掃描）
NR1L-RVC-006	SWE-CAM-016	548	Display Arbitration	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（SYS2 `Description` 全文掃描）
NR1L-RVC-007	SWE-CAM-018	CFTS092-4781643	Display Arbitration	4	多觸發併列	6 個觸發步、4 種動作：Press／Select／Send／Set	0	L	偵測器把 `ENTER_SETTINGS_APP`／App Drawer 之**導航 hop** 計為觸發步（**GCB-11** 同因）；實際觸發只有一個
NR1L-RVC-008	SWE-CAM-018	CFTS092-4781643	Display Arbitration	4	多觸發併列	6 個觸發步、4 種動作：Press／Select／Send／Set	0	L	偵測器把 `ENTER_SETTINGS_APP`／App Drawer 之**導航 hop** 計為觸發步（**GCB-11** 同因）；實際觸發只有一個
NR1L-RVC-009	SWE-CAM-018	CFTS092-4781643	Display Arbitration	4	boundary	數值 10 s／8 mph；TC 內出現之數 ['1', '10', '12', '13', '14', '2']	0	L	邊界以 `limit±1` 夾之（`205`／`206`、`12`／`13`）而未寫出 limit 本身 —— **A-CA30** 所迫；或 limit 以**英文數字**書寫（`five seconds`／`two LVDS`）而偵測器只比對阿拉伯數字
NR1L-RVC-010	SWE-CAM-018	CFTS092-4781643	Display Arbitration	4	boundary	數值 10 s／8 mph；TC 內出現之數 ['1', '10', '12', '13', '14', '2']	0	L	邊界以 `limit±1` 夾之（`205`／`206`、`12`／`13`）而未寫出 limit 本身 —— **A-CA30** 所迫；或 limit 以**英文數字**書寫（`five seconds`／`two LVDS`）而偵測器只比對阿拉伯數字
