# source_sha256	c98909e2c15eb0a02e1ab99f25c4c7bd77226fbd5f29842088bbe06f9f0f2afd	 sheet	Analysis Report
STLA 報告_SWRA\nSTLA Report_SWRA																	
																	FM-WI-FSM-037-A03
		Project Name：			#NAME?												
		Reviewer：		Date：													
																	
Software  Requirement Analysis Report																	
Software  Requirement Analysis Report																	
SWE-Requirement ID 	Source Requirement ID	Requirement  Title	Requirement  Description	Release Version	Categorization	Sub Categorization	Feasibility	 Description/Action for Feasibility	 Impact	Description/Action for  Impact	Risk Factor	Description/Action for Risk Factor	Reusable	Description/Action for Reusable	Priority	Verification Criteria	Verification Method 
SWE1-VC-SideDistanceWarning-001	Sys-RA-VF665_V42_VSM-566	Side Distance Warning	Side Distance Warning	1.00.00	Heading												
SWE1-VC-SideDistanceWarning-002	Sys-RA-VF665_V42_VSM-567	Side Distance Warning	The HMI layer shall send a request to VehicleConfigManager to retrieve the Side_Distance_Warning PROXI configuration status. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nHMI receives the value as "Absent" via signal,\n$Side_Distance_Warning$\n\nThen HMI shall not display the Side Distance Warning and Chime Volume menu items in the Vehicle Settings menu, and the customer shall not be able to perform any setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-003	Sys-RA-VF665_V42_VSM-568	Side Distance Warning	The HMI layer shall send a request to VehicleConfigManager to retrieve the Side_Distance_Warning PROXI configuration status. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nHMI receives the value as "Present" via signal,\n$Side_Distance_Warning$\n\nThen HMI shall display the Side Distance Warning and Chime Volume menu items in the Vehicle Settings menu and allow the customer to modify the settings.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-004	Sys-RA-VF665_V42_VSM-570	Side Distance Warning	When the customer chooses to set the Side Distance Warning setting to Off on the LTM or ETM, the HMI layer shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = Sdw_Req and value = [Off]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe HMI receives the value as Off via signal,\n$TELEMATIC_VEHICLE_SETUP.Sdw_Req$.\n\nThen the HMI/LTM/ETM shall update the Side Distance Warning setting status to Off in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-005	Sys-RA-VF665_V42_VSM-571	Side Distance Warning	When the customer chooses to set the Side Distance Warning setting to Sound on the LTM or ETM, the HMI layer shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = Sdw_Req and value = [Sound]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe HMI receives the value as Sound via signal,\n$TELEMATIC_VEHICLE_SETUP.Sdw_Req$.\n\nThen the HMI/LTM/ETM shall update the Side Distance Warning setting status to Sound in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-006	Sys-RA-VF665_V42_VSM-572	Side Distance Warning	When the customer chooses to set the Side Distance Warning setting to Sound+Display on the LTM or ETM, the HMI layer shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = Sdw_Req and value = [Sound+Display]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe HMI receives the value as Sound+Display via signal,\n$TELEMATIC_VEHICLE_SETUP.Sdw_Req$.\n\nThen the HMI/LTM/ETM shall update the Side Distance Warning setting status to Sound+Display in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-007	Sys-RA-VF665_V42_VSM-573	Side Distance Warning	The HW supplier shall provide the IPC_VEHICLE_SETUP.Sdw signal to the Android Automotive layer through the vehicle communication network and VHAL interface. VHAL shall forward the updated Side Distance Warning signal value to CarPropertyService, which shall update CarPropertyManager through the Android Automotive framework. CarPropertyManager shall notify the application layer, and the HMI/LTM/ETM layer shall process the updated setting information.\n\nWhen the LTM or ETM receives the value via signal\n$IPC_VEHICLE_SETUP.Sdw$,\n\nthe LTM or ETM shall update the Side Distance Warning setting status information on the display within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-008	Sys-RA-VF665_V42_VSM-575	Side Distance Warning	When the customer chooses to set the Side Distance Warning Chime Volume to Low on the TLM, the TLM shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = SdwChimeVolume_Req and value = [Low]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe TLM receives the value as Low via signal,\n$TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req$.\n\nThen the TLM shall update the Side Distance Warning Chime Volume setting status to Low in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-009	Sys-RA-VF665_V42_VSM-576	Side Distance Warning	When the customer chooses to set the Side Distance Warning Chime Volume to Medium on the TLM, the TLM shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = SdwChimeVolume_Req and value = [Medium]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe TLM receives the value as Medium via signal,\n$TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req$.\n\nThen the TLM shall update the Side Distance Warning Chime Volume setting status to Medium in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-010	Sys-RA-VF665_V42_VSM-577	Side Distance Warning	When the customer chooses to set the Side Distance Warning Chime Volume to High on the TLM, the TLM shall send the updated customer preference to CarPropertyManager via the Android Car API. CarPropertyManager shall invoke setProperty() with propId = SdwChimeVolume_Req and value = [High]. CarPropertyService shall forward the request to Vehicle HAL (VHAL) via IVehicle.setValues(). The Vehicle HAL (VHAL) shall transmit the updated signal to the IPC/HW through the vehicle communication interface.\n\nThe TLM receives the value as High via signal,\n$TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req$.\n\nThen the TLM shall update the Side Distance Warning Chime Volume setting status to High in the Vehicle Settings menu.\n\nThe signal shall be transmitted to IPC within the defined system response tim	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-SideDistanceWarning-011	Sys-RA-VF665_V42_VSM-578	Side Distance Warning	The HW supplier shall provide the IPC_VEHICLE_SETUP.SdwChimeVolume signal to the Android Automotive layer through the vehicle communication network and VHAL interface. VHAL shall forward the updated Side Distance Warning Chime Volume signal value to CarPropertyService, which shall update CarPropertyManager through the Android Automotive framework. CarPropertyManager shall notify the application layer, and the TLM shall process the updated setting information.\n\nWhen the TLM receives the value via signal\n$IPC_VEHICLE_SETUP.SdwChimeVolume$,\n\nthe TLM shall update the Side Distance Warning Chime Volume setting status information on the display within the defined system response time.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RainSensor-012	Sys-RA-VF665_V42_VSM-597	Rain Sensor	Rain Sensor	1.00.00	Heading												
SWE1-VC-RainSensor-013	Sys-RA-VF665_V42_VSM-598	Rain Sensor	The HMI layer shall send a request to VehicleConfigManager to retrieve the Rain_Sensor PROXI configuration status. VehicleConfigManager shall communicate with VehicleConfigService to obtain and validate the configuration status. The retrieved configuration response shall be returned from VehicleConfigService to VehicleConfigManager and finally provided to the HMI layer for feature availability handling.\n\nWhen the HMI receives the value "Present" via the $Rain_Sensor$ signal, \nthen HMI shall display the Rain Sensor menu item in the Vehicle Settings menu and allow the customer to modify the setting.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	* Set/simualte “Rain_Sensor” PROXI parameter is equal to "Present".\n*Check  TLM shall display the Rain Sensor menu item and the user can perform setting.	 1. Software Validation\n2. System Validation\n3. Integration test.
SWE1-VC-RainSensor-014	Sys-RA-VF665_V42_VSM-599	Rain Sensor	When the customer selects Enable, the HMI layer shall send the request to CarPropertyManager through the Android Car API.\nCarPropertyManager shall invoke setProperty() with propId = RainSensorLevel_Req and value = Enable.\nThe request shall be forwarded through CarPropertyService, PropertyHalService, and VHAL to the IPC.\n\nWhen the HMI receives Enable via $TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req$, \nit shall update the Rain Sensor setting status to Enable.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
SWE1-VC-RainSensor-015	Sys-RA-VF665_V42_VSM-600	Rain Sensor	When the customer selects Not_Enable, the HMI layer shall send the request to CarPropertyManager through the Android Car API. \nCarPropertyManager shall invoke setProperty() with propId = RainSensorLevel_Req and value = Not_Enable.\n The request shall be forwarded through CarPropertyService, PropertyHalService, and VHAL to the IPC.\n\n When the HMI receives Not_Enable via $TELEMATIC_VEHICLE_SETUP.\nRainSensorLevel_Req$, it shall update the Rain Sensor setting status to Not_Enable.	1.00.00	Functional Requirement	Display (including HAL)	Y	The requirement is feasable to achieve.	Y	The requirement impacts *HW supplier and *SW supplier cost,operating schedule and timeline constraints.The parameter unavailability will impact vehicle performance	Medium	The requirement is dependent on *HW supplier and *SW supplier	None	It is a new requirement to be implemented in AAOS14	High	1.The HU shall be powered up (simulate valid ignition condition as mentioned in the requirement)\n2.The HU shall be equipped with test bench power OFF,ON,Flashing and desired testing controls with a host computer.\n3.The HU shall be configured allow the logs collection as ADP.\n4.The HU shall not have any issues with system/any other module.	1. Peer review\n2. Unit test\n3. Integration test\n4. *SW validation\n5. System Validation
