row037	swe	kind	title_prefix	title
8	SWE1-Diagnostics-001	positive	Camera	Camera - Update the brightness level of Rear view camera using this DID$283F
9	SWE1-Diagnostics-002	negative	Caemera	Caemera - Handle the negative response while updating the brightness of Rear view Camera
10	SWE1-Diagnostics-003	unsupported	Caemera	Caemera - Handle the Unsupported service requests while updating the brightness level of Rear view Camera.
11	SWE1-Diagnostics-004	positive	Camera	Camera - Report the brightness level of Rear view camera
12	SWE1-Diagnostics-005	negative	Caemera	Caemera - Handle the negative response while reporting the brightness of Rear view Camera
13	SWE1-Diagnostics-006	unsupported	Caemera	Caemera - Handle the Unsupported service requests while reporting the brightness level of Rear view Camera.
14	SWE1-Diagnostics-007	positive	(無前綴)	Enable each of the navigation in-motion menu items regardless of the status of current disable conditions When command received from DID $500B
15	SWE1-Diagnostics-008	negative	(無前綴)	Handle the Negative senario while enabling the navigation in-motion menu items regardless of the status
16	SWE1-Diagnostics-009	unsupported	(無前綴)	Handle the unsupported service request when recevied the navigation in-motion menu items regardless of the status
17	SWE1-Diagnostics-010	positive	(無前綴)	When the command to disable in-motion menu options is received, the radio shall return control of in-motion menu item status to the normal disable conditions.
18	SWE1-Diagnostics-011	negative	(無前綴)	Handle the Negative senario while disable the navigation in-motion menu items regardless of the status
19	SWE1-Diagnostics-012	positive	(無前綴)	If the radio does not receive a diagnostic command to enable park menu options for more than 5 seconds, the radio shall return control of in-motion menu item status to the normal disable conditions.
20	SWE1-Diagnostics-013	positive	AM/FM	AM/FM -This DID shall report the currently tuned SDAR channel number.
21	SWE1-Diagnostics-014	negative	AM/FM	AM/FM - Handle Negative response for reporting Tuned SDAR channel number
22	SWE1-Diagnostics-015	unsupported	AM/FM	AM/FM - Handle Unsupported Service for reporting Tuned SDAR channel number
23	SWE1-Diagnostics-016	positive	AM/FM	AM/FM - This DID shall report the frequency step of the currently tuned station.
24	SWE1-Diagnostics-017	negative	AM/FM	AM/FM - Handle Negative response to report the frequency step of the currently tuned station.
25	SWE1-Diagnostics-018	unsupported	AM/FM	AM/FM - Handle Unsupported Service for reporting the frequency step of the currently tuned station.
26	SWE1-Diagnostics-019	positive	AM/FM	AM/FM - This DID shall report if the seek function is currently active.
27	SWE1-Diagnostics-020	negative	AM/FM	AM/FM - Handle Negative response to report if the seek function is currently active.
28	SWE1-Diagnostics-021	unsupported	AM/FM	AM/FM - Handle Unsupported Service for reporting the seek function is currently active.
29	SWE1-Diagnostics-022	positive	AM/FM	AM/FM - When requested by this DID , the HU shall report the Tuner status.
