swe1_id	row	source	anchor	quoted	asserted_by	candidate	axis	feasible	note
SWE1-Diagnostics-007	14	037-VM	037 row 14 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-219	NR1L-DIAG-219(Revise)	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-007	14	037-VM	037 row 14 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-219	NR1L-DIAG-219(Revise)	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
SWE1-Diagnostics-007	14	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-219	NR1L-DIAG-219(Revise)	節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-008	15	037-VM	037 row 15 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-220;NR1L-DIAG-221	已斷言，不另產	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-008	15	037-VM	037 row 15 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-220;NR1L-DIAG-221	已斷言，不另產	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
SWE1-Diagnostics-008	15	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-220;NR1L-DIAG-221		節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-009	16	037-VM	037 row 16 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-222	已斷言，不另產	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-009	16	037-VM	037 row 16 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-222	已斷言，不另產	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
SWE1-Diagnostics-009	16	CFTS004-INFO	CFTS004-4940345	Radios without navigation shall not function with this DID.	NR1L-DIAG-222		節內補充	N	配置相依（無導航機種），不在本次受測配置
SWE1-Diagnostics-010	17	037-VM	037 row 17 VM	state 3)Perform HMI functional testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-223	NR1L-DIAG-223(Revise)	enable／disable 態軸	Y	037 VM 之情境 ＋ 同 DID Read 節 CFTS004-4939956（引兩錨）
SWE1-Diagnostics-010	17	037-VM	037 row 17 VM	testing to confirm menu enable/disable states and timeout-based fallback.	NR1L-DIAG-223	NR1L-DIAG-223(Revise)	逾時軸	Y	已由 `-012`／`NR1L-DIAG-226`（5 s timeout）斷言
