tc_id	field	before	after
NR1L-ComfortHMI-035	test_procedure	1. Turn Sync on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-035	expected_result	1. Sync is on	1. SYNC is on
NR1L-ComfortHMI-127	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-128	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-129	test_procedure	2. Turn AUTO on and read the fan speed and the airflow mode	"2. Turn ""AUTO"" on and read the fan speed and the airflow mode"
NR1L-ComfortHMI-129	test_item(下半)	turn AUTO on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system	"turn ""AUTO"" on and read the fan speed and the airflow mode -> The fan speed and the airflow mode are set by the system"
NR1L-ComfortHMI-130	test_procedure	3. Turn AUTO on	"3. Turn ""AUTO"" on"
NR1L-ComfortHMI-130	test_item(下半)	"turn AUTO on -> The airflow mode buttons and ""FRONT DEF"" are no longer active"	"turn ""AUTO"" on -> The airflow mode buttons and ""FRONT DEF"" are no longer active"
NR1L-ComfortHMI-131	test_procedure	"2. Turn AUTO on and read the ""A/C"" button"	"2. Turn ""AUTO"" on and read the ""A/C"" button"
NR1L-ComfortHMI-131	test_item(下半)	"turn AUTO on and read the ""A/C"" button -> The ""A/C"" button state is unchanged"	"turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button state is unchanged"
NR1L-ComfortHMI-132	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-386	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-387	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-133	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-134	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-467	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-468	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-363	test_procedure	2. Read the AUTO controls	"2. Read the ""AUTO"" controls"
NR1L-ComfortHMI-363	test_item(下半)	read the AUTO controls -> A driver side AUTO mode and a passenger side AUTO mode are provided	"read the ""AUTO"" controls -> A driver side AUTO mode and a passenger side AUTO mode are provided"
NR1L-ComfortHMI-364	test_procedure	1. Turn the driver side AUTO on	"1. Turn the driver side ""AUTO"" on"
NR1L-ComfortHMI-364	test_procedure	2. Read the driver and passenger AUTO indicators	"2. Read the driver and passenger ""AUTO"" indicators"
NR1L-ComfortHMI-364	expected_result	2. The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately	"2. The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately"
NR1L-ComfortHMI-364	test_item(下半)	read the driver and passenger AUTO indicators -> The driver side AUTO indicator is shown as on and the passenger side AUTO indicator is shown separately	"read the driver and passenger ""AUTO"" indicators -> The driver side ""AUTO"" indicator is shown as on and the passenger side ""AUTO"" indicator is shown separately"
NR1L-ComfortHMI-137	test_procedure	"1. Turn ""A/C"" off and AUTO off from the climate screen"	"1. Turn ""A/C"" off and ""AUTO"" off from the climate screen"
NR1L-ComfortHMI-137	test_procedure	"2. Turn AUTO on and read the ""A/C"" button"	"2. Turn ""AUTO"" on and read the ""A/C"" button"
NR1L-ComfortHMI-137	test_item(下半)	"turn AUTO on and read the ""A/C"" button -> The ""A/C"" button is highlighted"	"turn ""AUTO"" on and read the ""A/C"" button -> The ""A/C"" button is highlighted"
NR1L-ComfortHMI-138	test_procedure	1. Turn AUTO on from the climate screen	"1. Turn ""AUTO"" on from the climate screen"
NR1L-ComfortHMI-439	test_procedure	2. Read the RECIRC icon	"2. Read the ""RECIRC"" icon"
NR1L-ComfortHMI-439	expected_result	2. A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected	"2. A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"
NR1L-ComfortHMI-439	test_item(下半)	read the RECIRC icon -> A RECIRC icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected	"read the ""RECIRC"" icon -> A ""RECIRC"" icon is displayed and it matches the vehicle's configuration — the model specific icon, or the generic recirc symbol where the vehicle model cannot be detected"
NR1L-ComfortHMI-365	test_procedure	1. Press the RECIRC button	"1. Press the ""RECIRC"" button"
NR1L-ComfortHMI-365	test_procedure	2. Press the RECIRC button again	"2. Press the ""RECIRC"" button again"
NR1L-ComfortHMI-365	test_procedure	3. Press the RECIRC button again	"3. Press the ""RECIRC"" button again"
NR1L-ComfortHMI-365	test_item(下半)	press the RECIRC button again -> RECIRC is in the Open state	"press the ""RECIRC"" button again -> RECIRC is in the Open state"
NR1L-ComfortHMI-388	test_procedure	1. Press the RECIRC button until RECIRC is in the Open state	"1. Press the ""RECIRC"" button until RECIRC is in the Open state"
NR1L-ComfortHMI-388	test_procedure	2. Press the RECIRC button again and read the RECIRC state	"2. Press the ""RECIRC"" button again and read the ""RECIRC"" button state"
NR1L-ComfortHMI-388	test_item(下半)	press the RECIRC button again and read the RECIRC state -> RECIRC is in the Auto state and no further state is offered	"press the ""RECIRC"" button again and read the ""RECIRC"" button state -> RECIRC is in the Auto state and no further state is offered"
NR1L-ComfortHMI-366	test_procedure	1. Set RECIRC to Manual	"1. Set ""RECIRC"" to Manual"
NR1L-ComfortHMI-366	test_procedure	2. Read the RECIRC control on the climate screen	"2. Read the ""RECIRC"" control on the climate screen"
NR1L-ComfortHMI-366	test_item(下半)	read the RECIRC control on the climate screen -> The climate screen indicates the Manual state	"read the ""RECIRC"" control on the climate screen -> The climate screen indicates the Manual state"
NR1L-ComfortHMI-053	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
NR1L-ComfortHMI-054	test_procedure	1. Turn SYNC on	"1. Turn ""SYNC"" on"
