leaf_id	current_tc	target_tc	split_axis	basis	enumerated	has_negative	excerpt
SWE1-VC-FeaturesEnableCriteria-021	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The HU shall enable the WL version of the Hybrid Electric Pages Feature and display the Hybrid Electric Pages 
SWE1-VC-FeaturesEnableCriteria-022	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The radio shall enable the M version of the Hybrid Electric Pages Feature and display the Hybrid Electric Page
SWE1-VC-FeaturesEnableCriteria-023	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The HU shall disable and not display the features for all other signal values.
SWE1-VC-HeatedSteeringWheel-003	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	Tri_Level_HSW_StatSts	no	When the HU wakes up on the BH-CAN bus, the HU shall set the heated steering wheel state to OFF.
SWE1-VC-HeatedSteeringWheel-004	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with dual states (i.e. OFF and HI) when $Heated_Steering_Levels$ = [1_Level], the HU shall implem
SWE1-VC-HeatedSteeringWheel-005	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles with three states (i.e. LO, MEDIUM, and HI), when the $Heated_Steering_Levels$ = [3 Levels], the 
SWE1-VC-HeatedSteeringWheel-006	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	Tri_Level_HSW_StatSts	yes	The HU shall ignore invalid $HSW_Stat_2$ signals, if received.
SWE1-VC-HeatedSteeringWheel-007	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	Tri_Level_HSW_StatSts	no	When the HU receives a $HSW_Stat_2$ signal, it shall compare to the stored state and , if different, replace t
SWE1-VC-HeatedSteeringWheel-008	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	If $Hybrid_Type$ = [[PHEV] OR [BEV] OR [HEV] OR [REPB] OR [FCEV]] &amp;&amp; $PrplsnSysAtv$ = [Not Active], th
SWE1-VC-HeatedSteeringWheel-009	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	
SWE1-VC-HeatedSteeringWheel-010	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	For vehicles equipped with the Stop-Start feature, when the vehicle engine is not running ($EngRun_Stat$ &lt;&
SWE1-VC-HeatedSteeringWheel-011	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	If $PowerMode$ &lt;&gt; [Ignition run], the heated steering wheel switch, shall be shown as greyed-out, with a
SWE1-VC-HeatedSteeringWheel-012	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the customer selects to change the state of the heated steering wheel, the HU shall send an on-change $HS
SWE1-VC-HeatedSteeringWheel-013	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	The HU shall follow this signal with an on change $HSW_RQ_TGW$ = [NOT Pressed / NOT_PSD] within a time period 
SWE1-VC-HeatedSteeringWheel-014	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU determines that the Customer has selected to change the status of the Heated Steering Wheel, the H
SWE1-VC-HeatedSteeringWheel-015	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the HU receives a $HSW_Stat$ = [On] signal, the HU shall change the stored status of the heated steering 
SWE1-VC-HeatedSteeringWheel-016	1	1	—（維持一條）	§8.2.2：同一控制元件之多列 ER 維持一條	no	no	When the HU receives a $HSW_Stat$ = [Off] signal, the HU shall change the stored status of the heated steering
SWE1-VC-HeatedSteeringWheel-017	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HSW_Stat_2$ = [Heated steering wheel off / HSW_OFF] signal, the HU shall change the st
SWE1-VC-HeatedSteeringWheel-018	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HSW_Stat_2$ = [Heated steering wheel high / HSW_HI] signal, the HU shall change the st
SWE1-VC-HeatedSteeringWheel-019	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HSW_Stat_2$ = [Heated steering wheel medium / HSW_MED] signal, the HU shall change the
SWE1-VC-HeatedSteeringWheel-020	0	0	—（維持一條）	未生成，無 TC 可拆	no	no	When the HU receives a $HSW_Stat_2$ = [Heated steering wheel low / HSW_LO] signal, the HU shall change the sto
