book	swe_id	kind	source_book	section_or_vf	test_set_draft	title
A	SWE-CAM-001	leaf	CFTS092, VF551_V2, VF551_V3, VF551_V33, VF551_V4, VF551_V42		Startup and Shutdown	Camera System Startup and Shutdown Logic
A	SWE-CAM-002	leaf	VF551_V2, VF551_V3, VF551_V4, VF551_V42, VF617_V5		Configuration	PROXI based Camera Configuration and State
A	SWE-CAM-003	leaf	CFTS092, VF551_V2, VF551_V33, VF551_V4, VF551_V42, VF617V5, VF617_V5		State Handling	General Camera State Handling
A	SWE-CAM-004	leaf	VF551_V2, VF551_V3, VF551_V33, VF551_V42		Diagnostics	Camera Diagnostic and DTC Services
A	SWE-CAM-005	leaf	VF551_V3, VF617_V5		Configuration	Hardware Image Format Support
A	SWE-CAM-006	leaf	VF551_V2, VF551_V3, VF551_V42, VF617_V5		Video Pipeline	Camera Forward Channel Video Routing
A	SWE-CAM-007	leaf	VF551_V42		LVDS Messaging	Other LVDS / General Protocol
A	SWE-CAM-008	leaf	VF551_V2, VF551_V3, VF551_V42		LVDS Messaging	Message: gridZoomRequest
A	SWE-CAM-009	leaf	VF551_V2, VF551_V3, VF551_V42		LVDS Messaging	Message: systemStatus
A	SWE-CAM-010	leaf	VF551_V2, VF551_V3, VF551_V42		LVDS Messaging	Message: vehicleUpdate_1
A	SWE-CAM-011	leaf	VF551_V2, VF551_V3, VF551_V42		LVDS Messaging	Message: vehicleUpdate_2
A	SWE-CAM-012	leaf	VF551_V2, VF551_V3, VF551_V42		Startup and Shutdown	Message: PowerShutDownNotifcation
A	SWE-CAM-013	leaf	VF551_V42		Diagnostics	Message: diagnosticRequest / Response
A	SWE-CAM-014	leaf	VF551_V2, VF551_V3, VF551_V42		Startup and Shutdown	RVCM Power Notification Control
A	SWE-CAM-015	leaf	VF551_V2, VF551_V3, VF551_V33, VF551_V4, VF551_V42, VF617_V5		Display Arbitration	Camera Auto Mode Arbitration Logic
A	SWE-CAM-016	leaf	CFTS092, VF551_V2, VF551_V3, VF551_V4, VF551_V42, VF617_V5		Display Arbitration	Camera Manual Mode Arbitration Logic
A	SWE-CAM-017	leaf	CFTS092, VF551_V2, VF551_V3		State Handling	Camera State Signaling
A	SWE-CAM-018	leaf	CFTS092, VF551_V2, VF551_V33, VF551_V42, VF617_V5		Display Arbitration	Display Exit Conditions and Speed Thresholds
A	SWE-CAM-019	leaf	VF551_V33		Video Pipeline	FMVSS 111 Safety Control
A	SWE-CAM-020	leaf	VF551_V33		Display Arbitration	Bed Extender Interlock - Image Suppression
A	SWE-CAM-021	leaf	VF551_V2, VF551_V3, VF551_V4, VF617_V5		HMI Overlays	Camera HMI Display and Interrupt Logic
A	SWE-CAM-022	leaf	VF551_V2, VF551_V4		HMI Overlays	Camera Display Fallback & Update Logic
A	SWE-CAM-023	leaf	VF551_V2, VF551_V3, VF551_V42, VF617_V5		HMI Overlays	Camera HMI and Overlays
A	SWE-CAM-024	leaf	VF617_V5		AUX Camera	AUX Camera HMI Switching and Timers
A	SWE-CAM-025	leaf	VF551_V33		HMI Overlays	Bed Extender Interlock - Warning Overlay
B	SWE1-RVC-001	leaf	RVC+PAM	6.2	PAM Integration	PAM Feature Configuration Driven by Vehicle Proxy
