doc_id	filename	sha256	version	features	note
core_hmi_lf_pdf	Core HMI Logic and Flow R1 SR24 Post 2A (February 2 2023).pdf	a9d0be2f13e4c44cc1f5086865d7f6bf0eb2a738a88640523ccf01737fca9c75	R1_SR24_Post_2A_(February_2_2023)	popup	無文字層（pdftotext 全 21 頁非空白字元 0；pdfplumber 同）；spec_mode C 之圖面來源
core_hmi_lf_sys1	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023).xlsx	d9a16eed89203e4c110fd4882f84124c4e6c86654ef3bc2cc6d99732456e2e11	R1_SR24_Post_2A_(February_2_2023)	popup	Core HMI Logic and Flow 全文件 Polarion 匯出；popup 為第 5 章。spec_mode A 之文字權威
popup_037_v0_2	FM-WI-FSM-037-A03-N1L-SWE1-Popup-HMI-V0.2 STLA 報告.xlsx	cdf0812fb9f74b710a723a73b72b141ade7f97a99f60d5059696f65477fb7eef	V0.2	popup	SWE1 Analysis Report；TC 生成範圍之來源（R-POP2）
vf665_v43_spec_r4	Vehicle_Setup_Management_by_VP_-_LTM_(R1L)_with_TBM_VF665_V43_R4.docx	c922b4763eec45ca0c294e354788591ededc5d4189387332061288de9b00edbe	VF665_V43_R4	vsm_v43	母 spec（spec_mode D，R-VT5）；OOXML 實測 50 4B 03 04。extract_source.py 不支援 .docx，故無 extracted/（A-VT7）
vf665_v43_sysra	FM-WI-FSM-035-A02_VF665_V43_STLA_SYSRA STLA Vehicle Setup Management by VP-LTM (R1L)Requirement Analysis Report_SYSRA_VF665_V43_Release.xlsx	4e8db108ad12d28508419571b56e0dab8475982ac74eee8018f857142e45fb49	VF665_V43_Release	vsm_v43	跨源驗核，**非母體**（R-VT4）。extract_source.py §F-6 自驗誤報而中止，無 extracted/（A-VT8）；W-4 直讀 raw/
vf665_sysad_sys3	SYS3_Vehicle_Settings_FM-WI-FSM-011-A01_System Architectural Design_SYSAD_v1.0.docx	469162b81bf3101855089feb87b4a155d4ce867860c194d65d2a901bad08b200	v1.0	vsm_v42;vsm_v43	架構參考（R-VT5）。三方 sha 全等：vsm_v43/inputs、vsm_v42/inputs、vehicle_setting/inputs。本線先落（01 包「誰先跑誰落」）。無 extracted/（A-VT7）
vf665_037_parksense	FM-WI-FSM-037-A03_SWE1_VF665_STLA 報告_SWRA_STLA_Park_Sense_And_Restore Default Setting __Features_Report.xlsx	be55d8978f9472f3b7bae8643eee139525f2c455b8bddce24f3911c4128e9d05	未載明	vsm_v42;vsm_v43	vsm_v42 之母體；**非 vsm_v43 之母體**（R-VT4），供 E7 與 DR-VT1 佐證。sha 與 vsm_v42/inputs 同名檔全等，不另建 doc_id
vf665_037_sdw	FM-WI-FSM-037-A03_SWE1_VF665_STLA 報告_SWRA_STLA_Side_Distance_Warning - Audio_Repetition Features_Report.xlsx	c98909e2c15eb0a02e1ab99f25c4c7bd77226fbd5f29842088bbe06f9f0f2afd	未載明	vsm_v42;vsm_v43	同上
vf665_v42_spec_r6	Vehicle_Setup_Management_by_VP_-_LTM_(R1_Low)_VF665_V42_R6.docx	148956e9ccf77620dbc0e500971d7c8a59bf19352b88e4eed2b0cf4c8416ba99	VF665_V42_R6	vsm_v42	母 spec（spec_mode D）；OOXML 實測 magic 50 4B 03 04。手工附加（不得用 --refresh-manifest，A-VT? 型：其重寫全檔並抹既有 version/features/note）
vf665_v42_sysra	FM-WI-FSM-035-A02_VF665_V42_STLA 技術安全需求分析報告_SYSRA STLA Vehicle Setup Management Requirement Analysis Report_SYSRA_VF665_V42_Released.xlsx	72411efdd597482bc1b3bb394dbba002107feb27dca33bd6934b46008668994c	VF665_V42_Released	vsm_v42	跨源驗核（R-VL4：非母體，不得直接生成 TC）。手工附加
