tc_id_json	wb_row	req_id	tokens_before	tokens_after	upper_verbatim_ok	original_sentence	excerpt	lower
NR1L-ComfortHMI-036	19	SWE1-HVAC-002-05	94	43	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set	(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)
NR1L-ComfortHMI-037	20	SWE1-HVAC-002-05	94	43	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set	(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)
NR1L-ComfortHMI-038	21	SWE1-HVAC-002-06	94	33	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)
NR1L-ComfortHMI-086	341	SWE1-HVAC-106-05	79	38	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set, for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered	(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar)
NR1L-ComfortHMI-087	342	SWE1-HVAC-106-06	79	35	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set, for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set	(change the temperature using the temperature hard control -> The pop-up displays the degree being set in half degree increments)
NR1L-ComfortHMI-088	343	SWE1-HVAC-106-07	79	26	True	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set, for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.	(change the temperature using the temperature hard control -> The pop-up displays a slider bar with the arrow pointing to the current setting)
NR1L-ComfortHMI-193	325	SWE1-HVAC-104-01	118	40	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)	(read the status bar and the area below it -> The temperature pop-up is shown on the status bar and no drop down menu is shown)
NR1L-ComfortHMI-194	326	SWE1-HVAC-104-02	118	11	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-FAN Speed Pop-up: show for R1Low, do not show for R1H.	(read the screen for a fan speed pop-up -> A fan speed pop-up is shown)
NR1L-ComfortHMI-195	327	SWE1-HVAC-104-03	118	13	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)	(read the screen for an airflow mode pop-up -> No airflow mode pop-up is shown)
NR1L-ComfortHMI-196	328	SWE1-HVAC-104-04	118	11	True	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)	-Climate On/Off Pop-up: do not show (feedback is already on widget)	(read the screen for a climate on/off pop-up -> No climate on/off pop-up is shown)
