tc_id	req_id	field	item	before	after
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-435	SWE1-HVAC-001-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-435	SWE1-HVAC-001-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-436	SWE1-HVAC-001-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-436	SWE1-HVAC-001-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-437	SWE1-HVAC-001-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-437	SWE1-HVAC-001-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-438	SWE1-HVAC-001-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-438	SWE1-HVAC-001-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	priority	R-C47	P2	P1
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
