# CAM-29 §1　A 本來源覆蓋覆核：CAM-28 附帶量測之無紀錄 92 ＋ RD 對帳 NO-TC 無 plan 紀錄 28，去重 94（只覆核不生成）
# disposition：COVERED-BY（內容配對，附 TC 逐字）／DUPLICATE-OF（同句且承接 TC 車型涵蓋本來源平台，機械判）／EXCLUDED（A-CA15）／GAP／BLOCKED（DR-CAM-a：VF617_V5 未到，SYS2 既有本查無，勿造）
source_id	swe_ids	book	platforms	disposition	tc_ids	evidence	test_set_candidate	axis	est_tc	description
SYS-RA-CAM-064	SWE-CAM-018	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	GAP	—	No TC verifies the Cargo/CHMSL image persists until the softkey is pressed; NR1L-RVC-095 only checks X closes the cargo image (shift in P), persistence without press is not observed	Additional Cameras	none	1	Cargo/CHMSL Camera display image shall remain displayed until driver presses the softkey to disable it.
SYS-RA-CAM-065	SWE-CAM-018	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	GAP	—	No Cargo/CHMSL TC for the exit condition display timer > 10 s AND vehicle speed > 8 mph (rear-only equivalents NR1L-RVC-007..010 exist, none for cargo)	Additional Cameras	boundary	2	Cargo/CHMSL Camera display image shall remain displayed until display timer is greater than 10s AND vehicle speed is above 8 mph.
SYS-RA-CAM-066	SWE-CAM-018	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	GAP	—	No Cargo/CHMSL TC with vehicle speed below 8 mph verifying the image stays until the softkey is pressed	Additional Cameras	boundary	1	*Note* if vehicle speed is below 8mph Cargo/CHMSL display remains until the softkey to disable it is pressed
SYS-RA-CAM-079	SWE-CAM-018	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	COVERED-BY	NR1L-RVCHMI-029;NR1L-RVC-028	RVCHMI-029: Send CAN: BRAKE_FD_2.VehicleSpeedVSOSig = 205 (12.8125 km/h) / The RVC+PAM layout remains displayed; RVC-028 pre: The vehicle speed is below 8 mph / er: The rear view camera image is closed	—	—	—	*Note* if vehicle speed is below 8mph Rear display remains until the softkey to disable it is pressed
SYS-RA-CAM-080	SWE-CAM-016	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	GAP	—	No TC presses the Rear Camera Softkey (Controls screen) to display the rear image nor checks press/colour/size behaviour like other buttons; NR1L-RVC-046 only checks the softkey is present and selectable	Display Arbitration	none	1	The Rear Camera Softkey button shall enable displaying the Rear camera image. The softkey button shall perform similar to the other buttons within the same touch screen (i.e. press time to actuation, color change when pressed, size of button).
SYS-RA-CAM-081	SWE-CAM-016	cfts092	DT27;Fastack (376);HDCC27;Toro(2261);VF(ProMaster)637	GAP	—	No TC presses the Rear Camera Softkey and checks the rear area image is displayed (RVC IMAGE ON); NR1L-RVC-005 uses the App Drawer entry, not the Rear Camera Softkey	Display Arbitration	none	1	When the user presses the Rear Camera Softkey button, the HU shall receive the internal signal RVC IMAGE ON and shall display the image of the rear area of the vehicle.
SYS-RA-VF551_V2-492	SWE-CAM-015;SWE-CAM-018	vf551_v2	HDCC27	GAP	—	Manual Display Mode exits for CmdIgnSts != RUN, shift change to Park and max-out Ttimer2 are not tested (NR1L-RVC-017/018 are Automatic Display Mode; only RVC_ImageDefeat exit covered by NR1L-RVC-006/028)	Display Arbitration	boundary	4	· When Head Unit is in Manual Display mode AND RVC image is active, the Head Unit shall continue to display RVC image until any of the below conditions become True: - BCM_FD_10.CmdIgnSts != RUN,  - Shift Lever status change to "Park" from other gears ShiftLeverPosition = P,  - max out Ttimer2, - RVC_ImageDefeat.Req = Pressed.
SYS-RA-VF551_V2-493	SWE-CAM-015;SWE-CAM-018	vf551_v2	HDCC27	GAP	—	App Drawer path (APP_Menu_BACKUP) covered by NR1L-RVC-005 but no TC activates the RVC via the Controls screen (Controls_BACKUP.Req = Pressed) and checks Manual Display Mode	Display Arbitration	none	1	· The Head Unit shall stay in Manual Display Mode and display the RVC image as operating in Manual mode, when all of the following conditions hold true: - BCM_FD_10.CmdIgnSts = RUN - ShiftLeverPosition != R  - RVC image activated via touch screen control: Controls_BACKUP.Req = Pressed OR APP_Menu_BACKUP.Req= Pressed.
SYS-RA-VF551_V2-502	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC presses the Audio System Power button while the rear camera image is active with Audio Mode OFF and checks transition to Audio Mode ON	State Handling	none	1	The Head Unit shall transition to Head Unit Audio Mode ON if each of the following conditions is met: 1. Audio System Power button is pressed 2. Head Unit Audio Mode is OFF 3. Rear camera image is active
SYS-RA-VF551_V2-508	SWE-CAM-016	vf551_v2	HDCC27	GAP	—	No TC presses the Audio System Power button while the rear camera image is active with Audio Mode ON and checks transition to Audio Mode OFF	State Handling	none	1	The Head Unit shall transition to Head Unit Audio Mode Off mode if each of the conditions is met: 1. Audio System Power button is pressed 2. Head Unit Audio Mode is ON 3. Rear camera image is active
