tc_id	row	req_id	test_set	priority	design_method	has_pending
newR1L-SU-001	10	SWE1-FOTA-003	FOTA Overview	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-002	11	SWE1-FOTA-004	FOTA Overview	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-003	12	SWE1-FOTA-005	FOTA Overview	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-004	13	SWE1-FOTA-006	FOTA Overview	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-005	14	SWE1-FOTA-007	FOTA Overview	P1	決策表 (Decision Table Testing)	
newR1L-SU-006	15	SWE1-FOTA-008	FOTA Overview	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-007	16	SWE1-FOTA-010	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-008	17	SWE1-FOTA-011	Update Policy	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-009	18	SWE1-FOTA-012	Update Policy	P1	狀態轉換 (State Transition Testing)	Y
newR1L-SU-010	19	SWE1-FOTA-013	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-011	20	SWE1-FOTA-014	Update Policy	P1	狀態轉換 (State Transition Testing)	Y
newR1L-SU-012	21	SWE1-FOTA-015	Update Policy	P1	狀態轉換 (State Transition Testing)	Y
newR1L-SU-013	22	SWE1-FOTA-019	Session Flows	P1	決策表 (Decision Table Testing)	
newR1L-SU-014	23	SWE1-FOTA-025	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-015	24	SWE1-FOTA-026	Update Policy	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-016	25	SWE1-FOTA-027	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-017	26	SWE1-FOTA-028	Update Policy	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-018	27	SWE1-FOTA-030	Update Policy	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-019	28	SWE1-FOTA-031	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-020	29	SWE1-FOTA-033	Update Policy	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-021	30	SWE1-FOTA-034	Update Policy	P1	決策表 (Decision Table Testing)	
newR1L-SU-022	31	SWE1-FOTA-035	Update Policy	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-023	32	SWE1-FOTA-036	Update Policy	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-024	33	SWE1-FOTA-037	Update Policy	P1	負向測試 (Negative / Invalid)	
newR1L-SU-025	34	SWE1-FOTA-039	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-026	35	SWE1-FOTA-040	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-027	36	SWE1-FOTA-041	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-028	37	SWE1-FOTA-042	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-029	38	SWE1-FOTA-043	Wi-Fi Download	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-030	39	SWE1-FOTA-044	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-031	40	SWE1-FOTA-045	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-032	41	SWE1-FOTA-047	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-033	42	SWE1-FOTA-048	Wi-Fi Download	P1	負向測試 (Negative / Invalid)	
newR1L-SU-034	43	SWE1-FOTA-049	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-035	44	SWE1-FOTA-050	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-036	45	SWE1-FOTA-051	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-037	46	SWE1-FOTA-052	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-038	47	SWE1-FOTA-053	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-039	48	SWE1-FOTA-054	Wi-Fi Download	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-040	49	SWE1-FOTA-056	Wi-Fi Download	P1	決策表 (Decision Table Testing)	
newR1L-SU-041	50	SWE1-FOTA-057	Wi-Fi Download	P1	邊界值分析 (Boundary Value Analysis, BVA)	Y
newR1L-SU-042	51	SWE1-FOTA-059	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-043	52	SWE1-FOTA-060	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-044	53	SWE1-FOTA-061	Wi-Fi Download	P1	負向測試 (Negative / Invalid)	
newR1L-SU-045	54	SWE1-FOTA-062	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-046	55	SWE1-FOTA-063	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-047	56	SWE1-FOTA-064	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-048	57	SWE1-FOTA-065	Wi-Fi Download	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-049	58	SWE1-FOTA-066	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-050	59	SWE1-FOTA-067	Wi-Fi Download	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-051	60	SWE1-FOTA-069	Wi-Fi Download	P1	決策表 (Decision Table Testing)	
newR1L-SU-052	61	SWE1-FOTA-070	Wi-Fi Download	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-053	62	SWE1-FOTA-071	Wi-Fi Download	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-054	63	SWE1-FOTA-080	USB Update	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-055	64	SWE1-FOTA-081	USB Update	P1	等價劃分 (Equivalence Partitioning, EP)	
newR1L-SU-056	65	SWE1-FOTA-082	USB Update	P1	決策表 (Decision Table Testing)	
newR1L-SU-057	66	SWE1-FOTA-083	USB Update	P2	等價劃分 (Equivalence Partitioning, EP)	Y
newR1L-SU-058	67	SWE1-FOTA-084	USB Update	P2	決策表 (Decision Table Testing)	Y
newR1L-SU-059	68	SWE1-FOTA-088	ROV Installation	P1	狀態轉換 (State Transition Testing)	
newR1L-SU-060	69	SWE1-FOTA-089	ROV Installation	P1	狀態轉換 (State Transition Testing)	
newR1L-SU-061	70	SWE1-FOTA-090	ROV Installation	P2	狀態轉換 (State Transition Testing)	
newR1L-SU-062	71	SWE1-FOTA-092	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-063	72	SWE1-FOTA-093	ROV Installation	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-064	73	SWE1-FOTA-094	ROV Installation	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-065	74	SWE1-FOTA-095	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-066	75	SWE1-FOTA-097	ROV Installation	P1	決策表 (Decision Table Testing)	
newR1L-SU-067	76	SWE1-FOTA-098	ROV Installation	P2	狀態轉換 (State Transition Testing)	
newR1L-SU-068	77	SWE1-FOTA-099	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-069	78	SWE1-FOTA-100	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-070	79	SWE1-FOTA-100	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-071	80	SWE1-FOTA-101	ROV Installation	P1	決策表 (Decision Table Testing)	
newR1L-SU-072	81	SWE1-FOTA-102	ROV Installation	P1	決策表 (Decision Table Testing)	
newR1L-SU-073	82	SWE1-FOTA-103	ROV Installation	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-074	83	SWE1-FOTA-104	ROV Installation	P2	決策表 (Decision Table Testing)	
newR1L-SU-075	84	SWE1-FOTA-105	ROV Installation	P2	決策表 (Decision Table Testing)	
newR1L-SU-076	85	SWE1-FOTA-106	ROV Installation	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-077	86	SWE1-FOTA-107	ROV Installation	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-078	87	SWE1-FOTA-108	ROV Installation	P1	負向測試 (Negative / Invalid)	
newR1L-SU-079	88	SWE1-FOTA-109	ROV Installation	P1	狀態轉換 (State Transition Testing)	
newR1L-SU-080	89	SWE1-FOTA-111	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-081	90	SWE1-FOTA-112	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-082	91	SWE1-FOTA-113	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-083	92	SWE1-FOTA-114	TBM Reflash	P1	邊界值分析 (Boundary Value Analysis, BVA)	Y
newR1L-SU-084	93	SWE1-FOTA-115	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-085	94	SWE1-FOTA-116	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-086	95	SWE1-FOTA-116	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-087	96	SWE1-FOTA-116	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-088	97	SWE1-FOTA-117	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-089	98	SWE1-FOTA-118	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-090	99	SWE1-FOTA-119	TBM Reflash	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-091	100	SWE1-FOTA-120	TBM Reflash	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-092	101	SWE1-FOTA-121	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-093	102	SWE1-FOTA-122	TBM Reflash	P2	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-094	103	SWE1-FOTA-123	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-095	104	SWE1-FOTA-124	TBM Reflash	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-096	105	SWE1-FOTA-126	Configurable Parameters	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-097	106	SWE1-FOTA-128	Configurable Parameters	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-098	107	SWE1-FOTA-130	Update HMI	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-099	108	SWE1-FOTA-130	Update HMI	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-100	109	SWE1-FOTA-130	Update HMI	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-101	110	SWE1-FOTA-131	Update HMI	P1	狀態轉換 (State Transition Testing)	Y
newR1L-SU-102	111	SWE1-FOTA-132	Update HMI	P1	負向測試 (Negative / Invalid)	
newR1L-SU-103	112	SWE1-FOTA-133	Update HMI	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-104	113	SWE1-FOTA-133	Update HMI	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-105	114	SWE1-FOTA-134	Update HMI	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-106	115	SWE1-FOTA-136	Update HMI	P1	決策表 (Decision Table Testing)	
newR1L-SU-107	116	SWE1-FOTA-136	Update HMI	P1	決策表 (Decision Table Testing)	
newR1L-SU-108	117	SWE1-FOTA-138	Deployment Flow	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-109	118	SWE1-FOTA-139	Deployment Flow	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-110	119	SWE1-FOTA-140	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-111	120	SWE1-FOTA-141	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-112	121	SWE1-FOTA-142	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-113	122	SWE1-FOTA-143	Deployment Flow	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-114	123	SWE1-FOTA-144	Deployment Flow	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-115	124	SWE1-FOTA-145	Deployment Flow	P1	邊界值分析 (Boundary Value Analysis, BVA)	
newR1L-SU-116	125	SWE1-FOTA-146	Deployment Flow	P1	決策表 (Decision Table Testing)	
newR1L-SU-117	126	SWE1-FOTA-147	Deployment Flow	P1	負向測試 (Negative / Invalid)	
