swe_id	family	src_ref	title	desc
SWE1-VC-Stop-StartSystem-001	Common Features	SYS-RA-CFTS044-116	Stop-Start System	Stop-Start System Enabled
SWE1-VC-Stop-StartSystem-002	Common Features	SYS-RA-CFTS044-117	Stop-Start System	"*HW supplier shall notify the $EngRun_Stat$ and $ESS_ENG_ST$ signals via the VHAL interface.
*CarPropertyService shall receive the $EngRun_Stat$ and $ESS_ENG_ST$ signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*If the stop-start system is enabled the HMI shall turn off the heated/vented seats and the heated steering wheel switch indicators based on the $EngRun_Stat$ signal and the $ESS_ENG_ST$ signal."
SWE1-VC-Stop-StartSystem-003	Common Features	SYS-RA-CFTS044-118	Stop-Start System	"*HW supplier shall notify the $EngRun_Stat$ and $ESS_ENG_ST$ signals via the VHAL interface.
*CarPropertyService shall receive the $EngRun_Stat$ and $ESS_ENG_ST$ signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*If the stop-start system is enabled the HMI shall monitor the $ESS_ENG_ST$ signal to determine if a change in $EngRun_Stat$ is a result of the vehicle entering stop mode."
SWE1-VC-Stop-StartSystem-004	Common Features	SYS-RA-CFTS044-119	Stop-Start System	"*HW supplier shall notify the $EngRun_Stat$ and $ESS_ENG_ST$ signals via the VHAL interface.
*CarPropertyService shall receive the $EngRun_Stat$ and $ESS_ENG_ST$ signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*If ($EngRun_Stat$ <> [IDLE_STBL//UNLIMITED//LIMITED//RUN] && $ESS_ENG_ST$ <> [ENS_DSBL] && $ESS_ENG_ST$ <> [SNA])then the HMI shall continue to activate all heat and vent switches currently active and allow the customer to select the switches."
SWE1-VC-Stop-StartSystem-005	Common Features	SYS-RA-CFTS044-120	Stop-Start System	"*HW supplier shall notify the $EngRun_Stat$ and $ESS_ENG_ST$ signals via the VHAL interface.
*CarPropertyService shall receive the $EngRun_Stat$ and $ESS_ENG_ST$ signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*If  ($EngRun_Stat$ <> [IDLE_STBL//UNLIMITED//LIMITED//RUN] && $ESS_ENG_ST$ = [ENS_DSBL])then The HMI shall grey-out all heat and vent switches."
SWE1-VC-Stop-StartSystem-006	Common Features	SYS-RA-CFTS044-121	Stop-Start System	"*HW supplier shall notify the $EngRun_Stat$ signal via the VHAL interface.
*CarPropertyService shall receive the $EngRun_Stat$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*IF ($EngRun_Stat$ = [IDLE_STBL//UNLIMITED//LIMITED//RUN])then The HMI shall allow activation of the heated and vented seats and the heated steering wheel switches."
SWE1-VC-Stop-StartSystem-007	Common Features	SYS-RA-CFTS044-122	Stop-Start System	"*HW supplier shall notify the $ESS_ENG_ST$ signal via the VHAL interface.
*CarPropertyService shall receive the $ESS_ENG_ST$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the stop-start system.
*IF ($ESS_ENG_ST$ = [SNA])then The HMI shall behave as if the vehicle is not equipped with the Stop-Start system."
SWE1-VC-SwitchLHD/RHDConfiguration-008	Common Features	SYS-RA-CFTS044-123	Switch LHD/RHD Configuration	Switch LHD/RHD Configuration
SWE1-VC-SwitchLHD/RHDConfiguration-009	Common Features	SYS-RA-CFTS044-124	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ and $FL_HS_RQ$ signals via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ and $FL_HS_RQ$ signals and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If there is no Driver or Passenger label for Heated and Vented seats, the $DriverSide$ signal value shall have no impact on the Heated and Vented seat switch behavior. As an example, when $DriverSide$ = [Right Drive] and the customer selects to change the state of the LF(Passenger) heated seat, the HMI shall send an on-change $FL_HS_RQ$= [Pressed] signal."
SWE1-VC-SwitchLHD/RHDConfiguration-010	Common Features	SYS-RA-CFTS044-125	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ signal via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If $DriverSide$ = [Right hand drive] the HMI shall be modified as defined by HMI requirements."
SWE1-VC-SwitchLHD/RHDConfiguration-011	Common Features	SYS-RA-CFTS044-126	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ signal via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If there are Driver and Passenger labels for Heated and Vented seats, when $DriverSide$ = [Right Drive] the HMI shall: switch the labels of the driver and passenger heated/vented seats buttons.
*Reference Source requirement ID's(SYS-RA-CFTS044-041,SYS-RA-CFTS044-022,SYS-RA-CFTS044-075,SYS-RA-CFTS044-058)"
SWE1-VC-SwitchLHD/RHDConfiguration-012	Common Features	SYS-RA-CFTS044-325	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ and $FL_HS_RQ$ signal via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ and $FL_HS_RQ$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If there is no Driver or Passenger label for Heated and Vented seats, the $DriverSide$ signal value shall have no impact on the Heated and Vented seat switch behavior. 
*Reference Source requirement ID's(SYS-RA-CFTS044-197,SYS-RA-CFTS044-213,SYS-RA-CFTS044-235)."
SWE1-VC-SwitchLHD/RHDConfiguration-013	Common Features	SYS-RA-CFTS044-326	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ signal via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If $DriverSide$ = [Right hand drive] the HMI shall be modified as defined by HMI requirements."
SWE1-VC-SwitchLHD/RHDConfiguration-014	Common Features	SYS-RA-CFTS044-327	Switch LHD/RHD Configuration	"*HW supplier shall notify the $DriverSide$ signal via the VHAL interface.
*CarPropertyService shall receive the $DriverSide$ signal and send that to CarPropertyManager via Interface.
*CarPropertyManager will expose that value to HMI shall via API interface as get/set methods.
*The HMI shall evaluate the received signal and compare it with the internally stored status of the system.
*If there are Driver and Passenger labels for Heated and Vented seats, when $DriverSide$ = [Right Drive] the HMI shall:
*Reference Source requirement ID's(SYS-RA-CFTS044-197,SYS-RA-CFTS044-213,SYS-RA-CFTS044-235,SYS-RA-CFTS044-260,SYS-RA-CFTS044-282)."
SWE1-VC-Controls-015	Common Features	SYS-RA-CFTS044-328	Controls	Controls (Common Across Architectures)
SWE1-VC-PHEVFeatures-016	Common Features	SYS-RA-CFTS044-329	PHEV Features	PHEV Features
SWE1-VC-PHEVFeatures-017	Common Features	SYS-RA-CFTS044-330	PHEV Features	This section defines the Plug-in Hybrid Electric Vehicle (PHEV) features supported by the system. These features are generated by the ePowertrain system and made available through the HMI. They can be viewed, configured, or controlled by the customer using the vehicle Head Unit, Smartphone application, or Web interface.
SWE1-VC-FeaturesEnableCriteria-018	Common Features	SYS-RA-CFTS044-331	Features Enable Criteria	Features Enable Criteria
SWE1-VC-FeaturesEnableCriteria-019	Common Features	SYS-RA-CFTS044-332	Features Enable Criteria	HMI shall enable and display the features for all RU PHEV, K8 PHEV, JL PHEV, MP/M4 PHEV and WL PHEV vehicles.
