本	路徑	sha12	資料列	v3式	SendCAN:	PROXI舊式	PROXI新式	機械項	待裁項	lintX	建議	判準
FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & R	docs/Report/compare/01_Anti-theft/FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & Result_SWQT_CFTS016_AntiTheft20251223(Refine).xlsx	69359c4a313b	76	4	0	0	0	3	0	21	需 Pei 內容裁決	X 21 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & R	docs/Report/compare/01_Anti-theft/FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & Result_SWQT_CFTS016_AntiTheft_20251111(Review).xlsx	398f35ad3b46	56	0	0	0	0	0	0	23	需 Pei 內容裁決	X 23 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & R	docs/Report/compare/01_Anti-theft/FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & Result_SWQT_CFTS016_AntiTheft_20260224(Review).xlsx	b0061038195b	89	8	0	0	0	7	0	60	需 Pei 內容裁決	X 60 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & R	docs/Report/compare/01_Anti-theft/FM-WI-FSM-036-A01 測試用例規範與結果_SWQT Test Case Specification & Result_SWQT_CFTS016_AntiTheft_20260310(Refine).xlsx	2db8b8bac8e4	92	4	0	0	0	4	0	60	需 Pei 內容裁決	X 60 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/03_HFP/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS026_HandsFreePhone_20260105.xlsx	a3c68908fb65	95	0	0	0	0	0	4	113	需 Pei 內容裁決	待裁 4；X 113 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/03_HFP/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS026_HandsFreePhone_20260311(Review).xlsx	354ec6afdc0d	147	0	0	6	0	0	10	184	需 Pei 內容裁決	待裁 10；PROXI 舊式 6 行（R-VS86 vs R-G70(e) 未裁）；X 184 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/03_HFP/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS026_HandsFreePhone_20260316(Refine).xlsx	a2844a90859d	159	0	0	6	0	0	10	194	需 Pei 內容裁決	待裁 10；PROXI 舊式 6 行（R-VS86 vs R-G70(e) 未裁）；X 194 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/04_NotificationHMI/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_HMI_Notification_20260303.xlsx	4b2e51733bec	77	0	0	0	0	0	0	86	需 Pei 內容裁決	X 86 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/04_NotificationHMI/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_HMI_Notification_20260309(Review).xlsx	30546cab97b7	86	0	0	0	0	0	0	96	需 Pei 內容裁決	X 96 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specifi	docs/Report/compare/05_Player/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_CFTS025_PlayerFunctions_20260107.xlsx	1da752212cc6	140	0	0	0	0	0	0	72	需 Pei 內容裁決	X 72 行（§5.8 無固定入口；改寫須 HMI 來源，查無者開 DR）
