row	req_id	old_E	old_F	new_F	status	note
10	SWE1-HMI-BLM-001-01		newR1L-BLM-082	NR1L-BLM-001	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
11	SWE1-HMI-BLM-001-02		newR1L-BLM-140	NR1L-BLM-002	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
12	SWE1-HMI-BLM-001-03		newR1L-BLM-141	NR1L-BLM-003	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
13	SWE1-HMI-BLM-001-04		newR1L-BLM-142	NR1L-BLM-004	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
14	SWE1-HMI-BLM-002-01		newR1L-BLM-143	NR1L-BLM-005	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
15	SWE1-HMI-BLM-002-02		newR1L-BLM-144	NR1L-BLM-006	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
16	SWE1-HMI-BLM-002-03		newR1L-BLM-145	NR1L-BLM-007	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
17	SWE1-HMI-BLM-002-04		newR1L-BLM-146	NR1L-BLM-008	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
18	SWE1-HMI-BLM-002-05		newR1L-BLM-147	NR1L-BLM-009	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
19	SWE1-HMI-BLM-002-06		newR1L-BLM-148	NR1L-BLM-010	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
20	SWE1-HMI-BLM-003-01		newR1L-BLM-149	NR1L-BLM-011	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
21	SWE1-HMI-BLM-003-02		newR1L-BLM-150	NR1L-BLM-012	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
22	SWE1-HMI-BLM-003-03		newR1L-BLM-151	NR1L-BLM-013	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
23	SWE1-HMI-BLM-003-04		newR1L-BLM-115	NR1L-BLM-014	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
24	SWE1-HMI-BLM-004-01		newR1L-BLM-101	NR1L-BLM-015	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
25	SWE1-HMI-BLM-004-02		newR1L-BLM-102	NR1L-BLM-016	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
26	SWE1-HMI-BLM-004-03		newR1L-BLM-103	NR1L-BLM-017	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
27	SWE1-HMI-BLM-004-04		newR1L-BLM-104	NR1L-BLM-018	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
28	SWE1-HMI-BLM-004-05		newR1L-BLM-105	NR1L-BLM-019	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
29	SWE1-HMI-BLM-004-06		newR1L-BLM-083	NR1L-BLM-020	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
30	SWE1-HMI-BLM-005-01		newR1L-BLM-114	NR1L-BLM-021	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
31	SWE1-HMI-BLM-005-02		newR1L-BLM-020	NR1L-BLM-022	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
32	SWE1-HMI-BLM-005-03		newR1L-BLM-021	NR1L-BLM-023	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
33	SWE1-HMI-BLM-005-04		newR1L-BLM-022	NR1L-BLM-024	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
34	SWE1-HMI-BLM-006-01		newR1L-BLM-023	NR1L-BLM-025	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
35	SWE1-HMI-BLM-006-02		newR1L-BLM-024	NR1L-BLM-026	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
36	SWE1-HMI-BLM-006-03		newR1L-BLM-025	NR1L-BLM-027	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
37	SWE1-HMI-BLM-006-04		newR1L-BLM-026	NR1L-BLM-028	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
38	SWE1-HMI-BLM-006-05		newR1L-BLM-027	NR1L-BLM-029	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
39	SWE1-HMI-BLM-007-01		newR1L-BLM-028	NR1L-BLM-030	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
40	SWE1-HMI-BLM-007-02		newR1L-BLM-029	NR1L-BLM-031	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
41	SWE1-HMI-BLM-008-01		newR1L-BLM-096	NR1L-BLM-032	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
42	SWE1-HMI-BLM-008-02		newR1L-BLM-097	NR1L-BLM-033	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
43	SWE1-HMI-BLM-008-03		newR1L-BLM-098	NR1L-BLM-034	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
44	SWE1-HMI-BLM-008-04		newR1L-BLM-099	NR1L-BLM-035	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
45	SWE1-HMI-BLM-008-05		newR1L-BLM-015	NR1L-BLM-036	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
46	SWE1-HMI-BLM-009-01		newR1L-BLM-037	NR1L-BLM-037	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
47	SWE1-HMI-BLM-009-02		newR1L-BLM-038	NR1L-BLM-038	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
48	SWE1-HMI-BLM-010-01		newR1L-BLM-039	NR1L-BLM-039	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
49	SWE1-HMI-BLM-010-02		newR1L-BLM-040	NR1L-BLM-040	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
50	SWE1-HMI-BLM-011-01		newR1L-BLM-046	NR1L-BLM-041	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
51	SWE1-HMI-BLM-011-02		newR1L-BLM-047	NR1L-BLM-042	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
52	SWE1-HMI-BLM-011-03		newR1L-BLM-048	NR1L-BLM-043	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
53	SWE1-HMI-BLM-011-04		newR1L-BLM-049	NR1L-BLM-044	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
54	SWE1-HMI-BLM-012-01		newR1L-BLM-041	NR1L-BLM-045	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
55	SWE1-HMI-BLM-012-02		newR1L-BLM-042	NR1L-BLM-046	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
56	SWE1-HMI-BLM-013-01		newR1L-BLM-068	NR1L-BLM-047	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
57	SWE1-HMI-BLM-013-02		newR1L-BLM-069	NR1L-BLM-048	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
58	SWE1-HMI-BLM-013-03		newR1L-BLM-070	NR1L-BLM-049	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
59	SWE1-HMI-BLM-014-01		newR1L-BLM-071	NR1L-BLM-050	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
60	SWE1-HMI-BLM-014-02		newR1L-BLM-072	NR1L-BLM-051	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
61	SWE1-HMI-BLM-014-03		newR1L-BLM-073	NR1L-BLM-052	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
62	SWE1-HMI-BLM-015-01		newR1L-BLM-074	NR1L-BLM-053	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
63	SWE1-HMI-BLM-015-02		newR1L-BLM-075	NR1L-BLM-054	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
64	SWE1-HMI-BLM-015-03		newR1L-BLM-076	NR1L-BLM-055	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
65	SWE1-HMI-BLM-016-01		newR1L-BLM-043	NR1L-BLM-056	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
66	SWE1-HMI-BLM-016-02		newR1L-BLM-044	NR1L-BLM-057	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
67	SWE1-HMI-BLM-016-03		newR1L-BLM-045	NR1L-BLM-058	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
68	SWE1-HMI-BLM-018-01		newR1L-BLM-084	NR1L-BLM-059	renamed	VS-SL-09 重排後依新列序重賦（R-G42 一(a)）
