sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification 測試用例規範	12	12	NR1L-ICS-003	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob1_DIR$		N
Test Case Specification 測試用例規範	12	12	NR1L-ICS-003	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob1_DIR$		N
Test Case Specification 測試用例規範	12	12	NR1L-ICS-003	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob1_VAL$		N
Test Case Specification 測試用例規範	12	13	NR1L-ICS-003	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob1_VAL$		N
Test Case Specification 測試用例規範	14	12	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	14	12	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	14	12	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	14	12	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	14	13	NR1L-ICS-005	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	14	13	NR1L-ICS-005	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 0 (Knob_no_change) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 0 (Knob_no_change) is sent	Y
Test Case Specification 測試用例規範	14	13	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	14	13	NR1L-ICS-005	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	15	12	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	15	12	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	15	12	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	15	12	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	15	13	NR1L-ICS-006	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 2 (Knob_decrement) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 2 (Knob_decrement) is sent	Y
Test Case Specification 測試用例規範	15	13	NR1L-ICS-006	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 0 (Knob_no_change) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 0 (Knob_no_change) is sent	Y
Test Case Specification 測試用例規範	15	13	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	15	13	NR1L-ICS-006	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	16	12	NR1L-ICS-007	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	16	12	NR1L-ICS-007	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	16	13	NR1L-ICS-007	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 0 (Knob_no_change) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 0 (Knob_no_change) is sent	Y
Test Case Specification 測試用例規範	16	13	NR1L-ICS-007	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 0 (Knob_no_change) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 0 (Knob_no_change) is sent	Y
Test Case Specification 測試用例規範	17	12	NR1L-ICS-008	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	17	12	NR1L-ICS-008	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	17	12	NR1L-ICS-008	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	17	13	NR1L-ICS-008	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 0 (Knob_no_change) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 0 (Knob_no_change) is sent	Y
Test Case Specification 測試用例規範	17	13	NR1L-ICS-008	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	17	13	NR1L-ICS-008	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	18	12	NR1L-ICS-009	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	18	12	NR1L-ICS-009	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	18	12	NR1L-ICS-009	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	18	13	NR1L-ICS-009	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	18	13	NR1L-ICS-009	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	18	13	NR1L-ICS-009	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_VAL$		N
Test Case Specification 測試用例規範	19	12	NR1L-ICS-010	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	19	13	NR1L-ICS-010	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	20	12	NR1L-ICS-011	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	20	13	NR1L-ICS-011	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	21	12	NR1L-ICS-012	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_Knob2_DIR$		N
Test Case Specification 測試用例規範	21	13	NR1L-ICS-012	P-v3→v4:recv	The signal value $CLIMATIC_PANEL.Radio_Knob2_DIR$ = 1 (Knob_increment) is received	CLIMATIC_PANEL.Radio_Knob2_DIR = 1 (Knob_increment) is sent	Y
Test Case Specification 測試用例規範	22	12	NR1L-ICS-013	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn4$		N
Test Case Specification 測試用例規範	23	12	NR1L-ICS-014	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn4$		N
Test Case Specification 測試用例規範	24	12	NR1L-ICS-015	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	24	12	NR1L-ICS-015	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	24	12	NR1L-ICS-015	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	24	12	NR1L-ICS-015	P-v3→v4:bare	$RADIO_B3.RQ_DISP_INTS$		N
Test Case Specification 測試用例規範	25	10	NR1L-ICS-016	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification 測試用例規範	25	12	NR1L-ICS-016	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	25	12	NR1L-ICS-016	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	25	12	NR1L-ICS-016	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	25	12	NR1L-ICS-016	P-v3→v4:bare	$RADIO_B3.RQ_DISP_INTS$		N
Test Case Specification 測試用例規範	26	12	NR1L-ICS-017	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	26	12	NR1L-ICS-017	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	26	12	NR1L-ICS-017	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	27	10	NR1L-ICS-018	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification 測試用例規範	27	12	NR1L-ICS-018	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	27	12	NR1L-ICS-018	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	28	12	NR1L-ICS-019	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	28	12	NR1L-ICS-019	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn2$		N
Test Case Specification 測試用例規範	28	12	NR1L-ICS-019	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn0$		N
Test Case Specification 測試用例規範	28	12	NR1L-ICS-019	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn2$		N
Test Case Specification 測試用例規範	29	12	NR1L-ICS-020	P-v3→v4:bare	$CLIMATIC_PANEL.Radio_btn2$		N
Test Case Specification 測試用例規範	29	12	NR1L-ICS-020	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
Test Case Specification 測試用例規範	29	12	NR1L-ICS-020	P-v3→v4:bare	$TELEMATIC_DISPLAY2.TGW_DISP_STATSts$		N
