a_swe_id	a_title	b_swe_id	b_exists	b_kind	b_source_book	b_section	b_title	pairing_basis	relation	status	verdict_reason
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-008	Y	leaf	RVC+PAM	7.2	RVC+PAM Layout Activation Trigger Conditions	reverse 進出與 Delay	same-point	[VERIFIED]	§7.2 活化觸發（R 檔、R→D 且 delay 開啟）即 -015 之自動活化判準
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-019	Y	umbrella	RVC+PAM	7.4	Camera Activation Behavior and View Control (Umbrella)	reverse 進出與 Delay	same-point	[VERIFIED]	§7.4 活化後之預設視角與速度門檻持續條件
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-020	Y	leaf	RVC+PAM	7.5	RVC+PAM Layout Dismissal Trigger Conditions	reverse 進出與 Delay	same-point	[VERIFIED]	§7.5 解除觸發條件，即 -015 之 exit delay
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-021	Y	leaf	RVC+PAM	7.5.1	Dismissal When Speed Threshold or RVC Timeout Reached (Drive)	reverse 進出與 Delay	same-point	[VERIFIED]	§7.5.1 D 檔超速或 timeout 之解除
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-022	Y	leaf	RVC+PAM	7.5.2	Dismissal When Gear Leaves Reverse and RVC Timeout Expires	reverse 進出與 Delay	same-point	[VERIFIED]	§7.5.2 離開 R 檔且 timeout 之解除
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-023	Y	umbrella	RVC+PAM	7.5.3	Camera Display Behavior After Shifting Out of Reverse (Umbrella)	reverse 進出與 Delay	same-point	[VERIFIED]	§7.5.3 退出 R 檔後之顯示延續行為
SWE-CAM-015	Camera Auto Mode Arbitration Logic	SWE1-RVC-045	Y	leaf	HeadUnitCameraSystems	6.2.2.1	Rear View Camera Delay Setting (Default OFF)	reverse 進出與 Delay	precondition-or-hop	[VERIFIED]	§6.2.2.1 為 Rear View Camera Delay 設定項，-015 之 delay 分支須先設定此項
SWE-CAM-018	Display Exit Conditions and Speed Thresholds	SWE1-RVC-008	Y	leaf	RVC+PAM	7.2	RVC+PAM Layout Activation Trigger Conditions	reverse 進出與 Delay	precondition-or-hop	[VERIFIED]	§7.2 為活化觸發；-018 之退出 TC 須先入相機畫面，取其為前置逐字來源
SWE-CAM-018	Display Exit Conditions and Speed Thresholds	SWE1-RVC-019	Y	umbrella	RVC+PAM	7.4	Camera Activation Behavior and View Control (Umbrella)	reverse 進出與 Delay	same-point	[VERIFIED]	§7.4 逐字「as long as vehicle speed remains less than the threshold」即 -018 之速度門檻
SWE-CAM-018	Display Exit Conditions and Speed Thresholds	SWE1-RVC-020	Y	leaf	RVC+PAM	7.5	RVC+PAM Layout Dismissal Trigger Conditions	reverse 進出與 Delay	same-point	[VERIFIED]	§7.5 解除觸發條件即 -018 之 exit conditions
