# compound_label_plan.tsv —— CMF-04 §5 / R-C60（CMF-03_review §2）。**本輪一行未改，只出 plan。**
# 量測（129 節 section_fulltext 全文）：`Face/Feet` 2 節（2.12.2／16.12.1）、`Feet plus Windshield` 2 節（2.12／2.12.2）
#   —— 二者於條文中為**模式循環之組合名**，非按鍵標籤；雙鍵操作之句型於條文零命中。
# 工作簿之既有不一致（0907 交付本即如此，非 CMF-02／03 所造）：L+M 兩欄中已引號 2 處、未引號 11 處。
tc_id	req_id	field	line_no	compound	quoted_today	line_verbatim	action	reason
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	test_item	1	Face & Feet	no	C13.0) In some non-tri mode equipment types, airflow modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield).	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	test_item	1	Face & Feet	no	C13.0) In some non-tri mode equipment types, airflow modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield).	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-254	SWE1-HVAC-118-01	expected_result	2	Face/Feet	no	2. The modes were Face/Feet, then Feet, then Feet/Windshield, then Windshield	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-254	SWE1-HVAC-118-01	test_item	1	Face/Feet	no	ICE11.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet/Windshield > Windshield), the user will be shifted with each press	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-254	SWE1-HVAC-118-01	test_item	3	Face/Feet	no	(press the Mode hard control four times, reading the mode after each press -> The modes were Face/Feet, then Feet, then Feet/Windshield, then Windshield)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-255	SWE1-HVAC-118-02	expected_result	2	Face/Feet	no	2. The Face/Feet airflow mode is active and the mode does not move further while the control is held	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-255	SWE1-HVAC-118-02	test_item	3	Face/Feet	no	(press and hold the Mode hard control and read the airflow mode -> The Face/Feet airflow mode is active and the mode does not move further while the control is held)	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-296	SWE1-HVAC-036-01	test_item	1	Face + Feet	no	CR8.) The Rear Airflow Modes has 3 states: 1) Feet, 2) Face + Feet, 3) Face.	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	test_procedure	1	Face + Feet	yes	"1. Select the rear ""Face + Feet"" mode"	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	expected_result	1	Face + Feet	no	1. The rear Face + Feet mode is selected	keep（不改）	R-C60：合稱不加引號。條文側查無雙鍵操作之逐字（`select … and … mode` 0 節、`press … and …(Face|Feet|Windshield)` 0 節、`two mode buttons` 0 節），故 Select 動作行亦維持原樣
