gate_id	owner	criterion	source_ruling	effective_date	granularity	status	scope	selfcheck_items	hit_rounds	hits_total	hits_recent	retire_candidate	retired
A	lint036	禁用動詞 (proc)	未載明	未載明	每次命中	已校準	always	5	9	156	57,37,6,31,0,0,20,5,0	N	N
B	lint036	ER 情態詞 (er)	未載明	未載明	每次命中	已校準	always	10	9	42	0,0,22,18,2,0,0,0,0	N	N
C	lint036	hedge (test_item 括號下半)	R-6b	未載明	每次命中	已校準（R-6b 範圍：Media 錨值 1→0）	always	無對映	9	3	0,0,0,0,0,1,0,2,0	N	N
D	lint036	PC 違規 (pre)	未載明	未載明	每次命中／每編號行	已校準	always	3	9	332	8,275,6,21,2,0,0,20,0	N	N
E	lint036	proc/er 編號行數不對齊	未載明	未載明	每列	已校準	always	10	9	13	0,1,1,5,0,1,0,5,0	N	N
F	lint036	方括號佔位 (proc)	未載明	未載明	每次命中	已校準	always	12,15	9	187	21,33,129,3,0,0,0,1,0	N	N
G	lint036	Test Set 空值	未載明	未載明	每列	已校準（詞彙表外值待接入）	always	1	9	254	0,8,0,29,216,0,0,1,0	N	N
H	lint036	ER 模糊語 (er)	未載明	未載明	每次命中	已校準	always	10	9	7	0,1,6,0,0,0,0,0,0	N	N
I	lint036	test_item 括號下半缺失	未載明	未載明	每列	已校準	always	無對映	9	239	154,8,29,28,16,2,0,2,0	N	N
I-sibling	lint036	同 Requirement ID 括號行逐字重複	M15	未載明	每列	未校準（M15）	always	無對映	9	128	12,2,0,2,0,6,104,2,0	N	N
J	lint036	行首大寫	未載明	未載明	每行	已校準（行計口徑）	always	無對映	9	20	0,14,0,0,0,0,2,4,0	N	N
K	lint036	CJK 字元	R-5	未載明	每列每欄	已校準（分級待 R-5）	always	無對映	9	1736	0,1043,0,45,0,0,0,648,0	N	N
L	lint036	test_item 上半過長 (>50 tokens)	R-3	未載明	每列	已校準（閾值待 R-3）	always	無對映	9	627	29,375,0,44,17,0,71,91,0	N	N
M	lint036	空欄三態	未載明	未載明	每列每欄	已校準	always	4	9	208	0,14,54,39,5,0,0,96,0	N	N
N	lint036	行尾多餘句號	未載明	未載明	每行	已校準	always	14	9	6703	2916,0,1304,2111,369,2,0,1,0	N	N
P	lint036	訊號寫法不合 R-1 v2	未載明	未載明	每次命中	已校準（SWC 0708：195 —— proc 11／er 184，見上繳 09）	always	無對映	2	51	未知,未知,未知,未知,未知,未知,41,未知,10	N	N
Q	lint036	不可見字元（NBSP／全形空格／行尾空白）	R-10(a)	未載明	每行每欄	未校準（R-10(a)，21 包新增）	profile-only	無對映	1	0	未知,未知,未知,未知,未知,未知,未知,未知,0	N	N
R	lint036	Pre-Condition 版面（未編號行／多條件並列）	R-9(a)	未載明	每行	未校準（R-9(a)，21 包新增）	profile-only	3	1	0	未知,未知,未知,未知,未知,未知,未知,未知,0	N	N
T	lint036	PENDING 說明非英文	R-14	未載明	每次命中	未校準（R-14，21 包新增）	profile-only	無對映	1	0	未知,未知,未知,未知,未知,未知,未知,未知,0	N	N
U	lint036	PENDING 佔位（四欄全掃，含 ER 側）	A-PM16	未載明	每次命中	計數用（A-PM16：ER 側原不受任何檢查覆蓋）	profile-only	12	1	32	未知,未知,未知,未知,未知,未知,未知,未知,32	N	N
V	lint036	行首空白（IN §11）	未載明	未載明	每行每欄	未校準（IN §11，27 包新增）	profile-only	無對映	0	未知	未知，自本輪起算	N	N
docs_structure	lint_docs036	治理三簿之結構（章節、表格、必要欄）	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
ledger_id	lint_docs036	裁決台帳之 id 形態與序列連續性	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
ledger_status	lint_docs036	台帳狀態值須為 ACTIVE／[DEFAULT]／SUPERSEDED／WITHDRAWN	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
ledger_text	lint_docs036	台帳條文文字之刪除線與空白	未載明	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
ledger_location	lint_docs036	落檔位置欄不得以「同上」串接指涉（A-PM17）	A-PM17	未載明	每次命中	現為 PASS（26 包 §C 裁定 2 起接入 gate_all）	governance	不適用（治理文件，非 TC）	0	未知	未知，自本輪起算	N	N
