tc_id	req_id	leaf_section	test_set	sibling_tcs	axes	evidence	proposed_split	confidence	rationale
NR1L-RVCHMI-001	SWE1-RVC-041	6.1.2	Activation and Exit	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-002	SWE1-RVC-042	6.1.3	Activation and Exit	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-003	SWE1-RVC-043	6.1.5	Activation and Exit	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-004	SWE1-RVC-044	6.1.6	Activation and Exit	1	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-005	SWE1-RVC-048-01	6.5.1	Activation and Exit	3	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-006	SWE1-RVC-048-02	6.5.1	Activation and Exit	3	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-007	SWE1-RVC-048-03	6.5.1	Activation and Exit	3	none	無並列項／無數值單位／無否定句／單一觸發（全文掃描）	0	—	無並列項／無數值單位／無否定句／單一觸發（Description 全文掃描，已剝除影像 token）
NR1L-RVCHMI-008	SWE1-RVC-049	6.5.2	Activation and Exit	1	negative	來源否定句 'not'；ER 無否定	0	L	來源之否定詞位於**前提子句**（`When not equipped …`／`if the setting is not enabled`）或該否定側已由**同源兄弟列**承接
NR1L-RVCHMI-009	SWE1-RVC-050	6.5.3	Activation and Exit	1	format/type	型別配對 with/without camera app：'If the camera app is present'	0	L	該型別配對已由本列之 Procedure 同時驗（`-075`／`-089`），或匹配到的是設定名而非型別（`-069`），或其反向side 為來源未載之逆命題（`-009`／`-076`）
NR1L-RVCHMI-010	SWE1-RVC-051-01	6.7.1	Activation and Exit	4	negative	來源否定句 'not'；ER 無否定	0	L	來源之否定詞位於**前提子句**（`When not equipped …`／`if the setting is not enabled`）或該否定側已由**同源兄弟列**承接
NR1L-RVCHMI-011	SWE1-RVC-051-02	6.7.1	Activation and Exit	4	negative	來源否定句 'not'；ER 無否定	0	L	來源之否定詞位於**前提子句**（`When not equipped …`／`if the setting is not enabled`）或該否定側已由**同源兄弟列**承接
