feature	path	verdict	note
amfm	—	無候選	已掃，無符合 R-G26 之候選
power_moding	—	無候選	已掃，無符合 R-G26 之候選
home	—	無候選	已掃，無符合 R-G26 之候選
media	—	無候選	已掃，無符合 R-G26 之候選
projection	—	無候選	已掃，無符合 R-G26 之候選
power	features/power/data/SUPERSEDED_47_maps.md	留（被引用）	檔名帶作廢標記；引用於 features/power/RULINGS.md:11181；**同名檔全 repo 有 5 份**，引用比對以檔名為之，此筆之「被引用」為保守判定
power	features/power/sandbox/backup/20260820T011645Z/data/SUPERSEDED_47_maps.md	留（被引用）	檔名帶作廢標記；引用於 features/power/RULINGS.md:11181；**同名檔全 repo 有 5 份**，引用比對以檔名為之，此筆之「被引用」為保守判定
power	features/power/sandbox/backup/20260820T014209Z/data/SUPERSEDED_47_maps.md	留（被引用）	檔名帶作廢標記；引用於 features/power/RULINGS.md:11181；**同名檔全 repo 有 5 份**，引用比對以檔名為之，此筆之「被引用」為保守判定
power	features/power/sandbox/backup/20260820T021505Z/data/SUPERSEDED_47_maps.md	留（被引用）	檔名帶作廢標記；引用於 features/power/RULINGS.md:11181；**同名檔全 repo 有 5 份**，引用比對以檔名為之，此筆之「被引用」為保守判定
power	features/power/sandbox/backup/20260820T023816Z/data/SUPERSEDED_47_maps.md	留（被引用）	檔名帶作廢標記；引用於 features/power/RULINGS.md:11181；**同名檔全 repo 有 5 份**，引用比對以檔名為之，此筆之「被引用」為保守判定
