file	sha12	sheet	row	col	klass	rule	old_text	new_text
pm_29.xlsx	35305835796a	Test Case Specification&Result	10	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	10	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	11	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	11	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	12	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	12	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	13	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	13	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	14	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 5 (Ignition_Pre_Start)	1. Send CAN: STATUS_BH_BCM1.OperationalModeSts = 5 (Ignition_Pre_Start)
pm_29.xlsx	35305835796a	Test Case Specification&Result	14	proc	mechanical	d-read	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	2. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	14	er	mechanical	d-er-signal	1. The signal $STATUS_BH_BCM1.OperationalModeSts$ = 5 (Ignition_Pre_Start) is registered without a bus error	1. STATUS_BH_BCM1.OperationalModeSts = 5 (Ignition_Pre_Start) is registered without a bus error
pm_29.xlsx	35305835796a	Test Case Specification&Result	14	er	needs_ruling	er-tail-is-received→is sent <時機>	2. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	15	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 6 (Ignition_Start)	1. Send CAN: STATUS_BH_BCM1.OperationalModeSts = 6 (Ignition_Start)
pm_29.xlsx	35305835796a	Test Case Specification&Result	15	proc	mechanical	d-read	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	2. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	15	er	mechanical	d-er-signal	1. The signal $STATUS_BH_BCM1.OperationalModeSts$ = 6 (Ignition_Start) is registered without a bus error	1. STATUS_BH_BCM1.OperationalModeSts = 6 (Ignition_Start) is registered without a bus error
pm_29.xlsx	35305835796a	Test Case Specification&Result	15	er	needs_ruling	er-tail-is-received→is sent <時機>	2. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	16	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 7 (Ignition_Cranking)	1. Send CAN: STATUS_BH_BCM1.OperationalModeSts = 7 (Ignition_Cranking)
pm_29.xlsx	35305835796a	Test Case Specification&Result	16	proc	mechanical	d-read	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	2. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	16	er	mechanical	d-er-signal	1. The signal $STATUS_BH_BCM1.OperationalModeSts$ = 7 (Ignition_Cranking) is registered without a bus error	1. STATUS_BH_BCM1.OperationalModeSts = 7 (Ignition_Cranking) is registered without a bus error
pm_29.xlsx	35305835796a	Test Case Specification&Result	16	er	needs_ruling	er-tail-is-received→is sent <時機>	2. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	17	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM1.OperationalModeSts$ = 8 (Ignition_On_EngOn)	1. Send CAN: STATUS_BH_BCM1.OperationalModeSts = 8 (Ignition_On_EngOn)
pm_29.xlsx	35305835796a	Test Case Specification&Result	17	proc	mechanical	d-read	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 4 (Full_Operation)	2. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 4 (Full_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	17	er	mechanical	d-er-signal	1. The signal $STATUS_BH_BCM1.OperationalModeSts$ = 8 (Ignition_On_EngOn) is registered without a bus error	1. STATUS_BH_BCM1.OperationalModeSts = 8 (Ignition_On_EngOn) is registered without a bus error
pm_29.xlsx	35305835796a	Test Case Specification&Result	17	er	needs_ruling	er-tail-is-received→is sent <時機>	2. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	21	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 3 (Idle)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 3 (Idle)
pm_29.xlsx	35305835796a	Test Case Specification&Result	21	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	22	proc	mechanical	d-read	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 3 (Idle)	1. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 3 (Idle)
pm_29.xlsx	35305835796a	Test Case Specification&Result	22	er	needs_ruling	er-tail-is-received→is sent <時機>	1. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 3 (Idle) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	25	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	1. Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)
pm_29.xlsx	35305835796a	Test Case Specification&Result	25	proc	mechanical	d-read	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 7 (Partial_Operation)	2. Read STATUS_TELEMATIC.PowerSts_Telematic and check that it is 7 (Partial_Operation)
pm_29.xlsx	35305835796a	Test Case Specification&Result	25	er	mechanical	d-er-signal	1. The signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active) is registered without a bus error	1. STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active) is registered without a bus error
pm_29.xlsx	35305835796a	Test Case Specification&Result	25	er	needs_ruling	er-tail-is-received→is sent <時機>	2. The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 7 (Partial_Operation) is received	
pm_29.xlsx	35305835796a	Test Case Specification&Result	26	proc	mechanical	c-send	1. Send the signal $STATUS_BH_BCM2.RemStActvSts$ = 1 (Remote Start Active)	1. Send CAN: STATUS_BH_BCM2.RemStActvSts = 1 (Remote Start Active)
