sheet	row	col	text	class	去向	lint_detail
Test Case Specification 測試用例規範	12	proc	1. Read the signal $CLIMATIC_PANEL.Radio_Knob1_DIR$ on the CAN trace and check t	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_DIR$'
Test Case Specification 測試用例規範	12	proc	3. Read the signal $CLIMATIC_PANEL.Radio_Knob1_DIR$ on the CAN trace and check t	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_DIR$'
Test Case Specification 測試用例規範	12	proc	4. Read the signal $CLIMATIC_PANEL.Radio_Knob1_VAL$ in the same message and chec	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_VAL$'
Test Case Specification 測試用例規範	12	er	1. The signal value $CLIMATIC_PANEL.Radio_Knob1_DIR$ = 0 (Knob_no_change) is obs	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_DIR$'
Test Case Specification 測試用例規範	12	er	3. The signal value $CLIMATIC_PANEL.Radio_Knob1_DIR$ = 1 (Knob_increment) is obs	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_DIR$'
Test Case Specification 測試用例規範	12	er	4. The signal value $CLIMATIC_PANEL.Radio_Knob1_VAL$ = 1 is observed in the same	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob1_VAL$'
Test Case Specification 測試用例規範	14	proc	2. Read the signal $CLIMATIC_PANEL.Radio_Knob2_DIR$ and check that it is 1 (Knob	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob2_DIR$'
Test Case Specification 測試用例規範	14	proc	3. Read the signal $CLIMATIC_PANEL.Radio_Knob2_VAL$ and check that it is 1	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob2_VAL$'
Test Case Specification 測試用例規範	14	proc	4. Read the signal $CLIMATIC_PANEL.Radio_Knob2_DIR$ 2 seconds after the rotation	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob2_DIR$'
Test Case Specification 測試用例規範	14	proc	5. Read the signal $CLIMATIC_PANEL.Radio_Knob2_VAL$ 2 seconds after the rotation	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$CLIMATIC_PANEL.Radio_Knob2_VAL$'
