swe1_id	sibling_no	lower_half(English)	axis	trigger_channel	pending_expected	priority	rule
SWE1-CertProvider-001	1	valid leaf certificate; chain verification passes	verification outcome	HOST/ADB	N	P0	1,3
SWE1-CertProvider-001	2	broken certificate chain; verification is rejected	verification outcome	HOST/ADB	N	P0	1,3
SWE1-CertProvider-001	3	untrusted self-signed chain is rejected	chain trust	RC	N	P0	SEC-20 §2.1 (CCVR Cert Val CS.98 item 3)
SWE1-CertProvider-002	1	subject name identical to the configuration; certificate is accepted	subject match	HOST/ADB	N	P1	1,3
SWE1-CertProvider-002	2	subject name not identical to the configuration; certificate is rejected	subject match	HOST/PENDING	Y	P1	1,3
SWE1-CertProvider-003	1	issuer name identical to the configuration; certificate is accepted	issuer match	HOST/ADB	N	P1	1,3
SWE1-CertProvider-003	2	issuer name not identical to the configuration; certificate is rejected	issuer match	HOST/PENDING	Y	P1	1,3
SWE1-CertProvider-004	1	certificate listed in the local revocation list; certificate is rejected	revocation outcome	ADB/PENDING	Y	P0	1,3
SWE1-CertProvider-004	2	OpenSSL verification with the local revocation list on the host	verification path	HOST	N	P0	1
SWE1-CertProvider-004	3	L3 leaf revoked via DCL; verification is rejected	revoked level	RC	N	P0	SEC-20 §2.1 (CS.98 item 5)
SWE1-CertProvider-004	4	L2 intermediate CA revoked via DCL; verification is rejected	revoked level	RC	N	P0	SEC-20 §2.1 (CS.98 item 6)
SWE1-CertProvider-004	5	L1 intermediate CA revoked via DCL; verification is rejected	revoked level	RC	N	P0	SEC-20 §2.1 (CS.98 item 7)
SWE1-CertProvider-004	6	L0 root CA revoked via DCL; verification is rejected	revoked level	RC	N	P0	SEC-20 §2.1 (CS.98 item 8)
SWE1-CertProvider-005	1	certificate revoked at the distribution point; certificate is rejected	revocation outcome	PENDING	Y	P0	1,3
SWE1-CertProvider-005	2	no revocation list file is written to the storage partitions	storage side effect	ADB	N	P0	1
SWE1-CertProvider-006	1	build files use Android.bp instead of legacy Makefiles	build system	PENDING	Y	P2	1
SWE1-CertProvider-006	2	logs follow the Logdog error-level policy	logging policy	PENDING	Y	P2	1
SWE1-CertProvider-006	3	onStartCommand returns START_STICKY	service lifecycle	PENDING	Y	P2	1
SWE1-CertProvider-006	4	security scan reports no CWE/SANS Top 25 or OWASP Top 10 finding	security scan	PENDING	Y	P2	1
SWE1-CertProvider-007	1	trusted certificate chain is present at the deployed store path	store presence	ADB	N	P1	1
