kind	target	file	line	text	neg	pos	resolved_marks
anomaly	A-VC1	RULINGS.md	169	未經全表掃描之全稱斷言，**作廢**。據其所立之 A-VC1 一併**撤銷**，			2
anomaly	A-VC1	RULINGS.md	181	(d) 「讀取時 strip 含 `\xa0`」之技術手段**保留**（A-VC1 之正確部分）。		yes	2
anomaly	A-VC1	ANOMALIES.md	10	| A-VC1 | 037 第 10–18 欄全為 `\xa0` | **撤銷（R-VC6）** | — |			2
anomaly	A-VC1	ANOMALIES.md	73	(a) A-VC1 之條文以其前提為據（「無內容」），該前提在 repo 複本上不成立，	yes		2
anomaly	A-VC1	ANOMALIES.md	165	repo 內複本之同九欄於 117 個 leaf 皆有實質內容（見 A-VC1 之重測表）。		yes	2
anomaly	A-VC1	ANOMALIES.md	184	實測結果為準，A-VC1 條文重裁（見該項 (a)）。		yes	2
anomaly	A-VC1	ANOMALIES.md	215	且據該漏記立 A-VC1 指示「不視為已填」。若未經 T4 攔下，後果為 Phase 6 之			2
anomaly	A-VC20	ANOMALIES.md	1030	## A-VC20 —— 「§10.1／§10.2／§15 之內容僅存於圖，SYS1 匯出未帶文字」不成立（新立，下放包 27 T143）	yes		1
anomaly	A-VC20	DATA_REQUESTS.md	103	僅存於圖，請提供文字版本」——**其前提於 §10.1／§10.2 不成立**（A-VC20）。	yes		1
anomaly	A-VC20	DATA_REQUESTS.md	134	（下放包 28 §一／A-VC20）。**同一 repo 內，正解與錯解並存了 24 個包** ——			1
anomaly	A-VC20	DATA_REQUESTS.md	141	A-VC20 原記其成因為「R-VC12 二(a) 是用它自己所禁之方法立的」；			1
anomaly	A-VC20	data/tableB_draft.md	63	（A-VC20）—— 該二節之文字含實質需求敘述		yes	1
dr	DR-VC2	ANOMALIES.md	11	| A-VC2 | 037 封面 `Reviewer：` 空、`Date：` 為 2020/09/05 | PENDING | 附於 DR-VC2（包 02 §四）|	yes		0
dr	DR-VC2	ANOMALIES.md	108	狀態：PENDING（附於 DR-VC2）。本輪未對封面另作重測（不在 T4 之列舉範圍）。			0
dr	DR-VC2	DATA_REQUESTS.md	13	| DR-VC2 | **未結** | 037 作者 | 不阻斷生成；交付前須有答覆 |		yes	0
dr	DR-VC2	DECISIONS.md	118	- **DR 七筆全未結**（DR-VC1 ~ DR-VC7）。同批 A ＝ DR-VC2 ＋ DR-VC7			0
ruling	R-VC12	RULINGS.md	368	R-VC12（§4.2 分類之修訂；圖內內容之處置）			6
ruling	R-VC12	RULINGS.md	953	R-VC27（R-VC12 二(a) 之修訂：三節之內容欄改為逐節實測）			6
ruling	R-VC12	RULINGS.md	955	R-VC12 二(a) 原文「該三節之『內容』欄一律書『該節內容僅存於圖，	yes		6
ruling	R-VC12	RULINGS.md	961	simultaneously`）。R-VC12 立條之由來即為「不得以衍生物之判讀充當實測值」，			6
ruling	R-VC12	RULINGS.md	970	§10.2     不摘要、不省略（同 R-VC12 二(c) 對 §8.3 之作法）。			6
ruling	R-VC12	RULINGS.md	977	R-VC12 二(a) 之原文依 R-TM13 不刪除，加註「作廢，見 R-VC27」。			6
ruling	R-VC12	ANOMALIES.md	1061	- **R-VC12 二(a)** 之措辭以「匯出未帶文字」為其實測前提 —— 該前提於二節不成立。	yes		6
ruling	R-VC12	ANOMALIES.md	1069	- 於表 B 該三列**並列實測逐字** —— 引用非摘要，同 R-VC12 二(c) 對 §8.3 之作法。			6
ruling	R-VC12	ANOMALIES.md	1075	它被當成已實測之事實引用（R-VC12 二(a) 即以它為據立條），		yes	6
ruling	R-VC12	ANOMALIES.md	1099	**能攔本件的只有回到權威素材重測**，而那正是 R-VC12 三、通則所要求者。		yes	6
ruling	R-VC12	ANOMALIES.md	1103	- **R-VC12 二(a) 作廢**，代以 R-VC27：表 B 之「內容」欄一律**逐字引錄			6
