token	count	tc_ids
X-c	1	NR1L-CP-020
X-d	7	NR1L-ECUC-001;NR1L-ECUC-002;NR1L-ECUC-004;NR1L-ECUC-007;NR1L-ECUC-012
X-e	7	NR1L-CP-004;NR1L-CP-006;NR1L-CP-007;NR1L-CP-009;NR1L-CP-016;NR1L-CP-022;NR1L-CP-023
X-f-2	18	NR1L-KI-001;NR1L-KI-002;NR1L-KI-016;NR1L-KI-017;NR1L-KI-018;NR1L-KI-019;NR1L-KI-020;NR1L-KI-021;NR1L-KI-022
X-g	36	NR1L-SAM-004;NR1L-SAM-005;NR1L-SAM-007;NR1L-SAM-008;NR1L-SAM-009;NR1L-SAM-010;NR1L-SAM-011;NR1L-SAM-012;NR1L-SAM-014;NR1L-SAM-015;NR1L-SAM-016;NR1L-SAM-017;NR1L-SAM-018;NR1L-SAM-019;NR1L-SAM-020;NR1L-SAM-021;NR1L-SAM-027;NR1L-SAM-028;NR1L-SAM-029
X-h	19	NR1L-CP-002;NR1L-CP-004;NR1L-CP-006;NR1L-CP-007;NR1L-CP-009;NR1L-CP-016;NR1L-CP-017;NR1L-CP-018;NR1L-CP-020;NR1L-CP-022;NR1L-CP-023;NR1L-KI-019;NR1L-SAM-002;NR1L-SAM-004;NR1L-SAM-010;NR1L-SAM-012;NR1L-SAM-014;NR1L-SAM-022
X-i	16	NR1L-CP-011;NR1L-CP-012;NR1L-CP-013;NR1L-CP-014;NR1L-CP-017;NR1L-CP-018;NR1L-KI-023;NR1L-KI-024
X-j	2	NR1L-KI-015
X-k	4	NR1L-ECUC-008;NR1L-ECUC-009
X-l	12	NR1L-SWDL-001;NR1L-SWDL-002;NR1L-SWDL-003;NR1L-SWDL-004;NR1L-SWDL-005;NR1L-SWDL-006
X-m	2	NR1L-LOGENC-003
