outline	req_id	test_set	full_text
2.1	SWE1-HVAC-001	Front Climate Anatomy	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configuration. Tabs are displayed in the following order: Front, Seats (WS or R1 Low) or Seat & Wheel (Maserati), Massage, Rear. If only Front climate is available in a specific vehicle the tabs will not be displayed. Refer to separate HMI Logic and Flow documentation for Massage Seats logic.
2.2	SWE1-HVAC-002	Front Climate Anatomy	C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations. Whenever fan speed or temperature hard controls are used (even if at highest/lowest setting), according pop-ups are shown if NOT on climate screen (timeout after 3 sec), and changes are reflected in status bar/ status indicator on category button. When sync'd, do not show slider pop-up on passenger side when adjusting driver slider. If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp. If on climate screen, status changes are indicated directly on touchscreen buttons / status indicator on category button and will not be shown in the status bar. If changes are made on climate screen, LEDs on hard controls reflect new status.
2.3	SWE1-HVAC-003	Climate Modes	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the actual fan speed (this is based on fan speed of 15h rather than the status of AUTO). The main category control is dynamic, and will display Auto with the Mode Man and Fan speed greyed out behind it. AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible. Auto is mutually exclusive with the four airflow modes and front defrost. If Auto is turned on, these buttons/statuses are turned off. Auto can change the state of AC, but do not show this change. Manually selecting A/C, switching to another airflow mode (including front defrost), or changing fan speeds breaks Auto. When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode. Any other climate controls do NOT break Auto. (AUTO is not shown in MTC configurations)
2.3.1	SWE1-HVAC-004	Climate Modes	C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.
2.4	SWE1-HVAC-005	Climate Modes	C3.) AC has on/ off state. Auto can automatically turn on AC. AC will break Auto. Defrost can automatically turn on AC (Do not show this change). Recirc can automatically turn on AC.
2.5	SWE1-HVAC-006	Climate Modes	C4.) Recirc has on/ off state. RECIRC is not available in certain modes. Therefore, gray out the RECIRC button when recirc availability status from CCM denotes that. Recirc can automatically turn on AC. The recirc icon will display the vehicle model specific icon as displayed in the table. If the system cannot detect the vehicle model it will display the generic recirc symbol.
2.5.1	SWE1-HVAC-007	Climate Modes	C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.
2.6	SWE1-HVAC-008	Temperature and Fan	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This status is relayed from the CCM. Temperature will display the current degree value that the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value. The status is indicated on TS climate screen and in status bar. When the user sets the climate system temperature ranges to Metric the readout switches to half degree increments. Show pop-up when status is changed via hard control and currently shown screen is not climate screen. (when sync'd, do not show slider pop-up on passenger side when adjusting driver slider). The temperature within the temp slider, status bar, temp slider popup, and temp popup will reflect this change in temperature increments.
2.6.1	SWE1-HVAC-009	Temperature and Fan	C5.1) If SYNC is ON, adjusting driver temperature affects passenger temperature, adjusting passenger temperature would break SYNC and turn it off. Change temperature on climate screen by using arrows (move 1 increment up/down per press, long press = fast move or slider (TEMP pop-up next to slider when touching it so that finger does not cover number). Long press = fast move shall also work for temperature HARD CONTROLS. The system can jump to a value as well via the slider or voice command. User must press slider handle to move temperature slider position. The system can jump to a value as well via touching a spot in a slider bar or voice command. The user can also press slider handle to move temperature slider position; if user initially presses slider area outside of handle (i.e. to the left or right of the slider handle), ignore the press.
2.7	SWE1-HVAC-010	Temperature and Fan	C6.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead). The status is indicated on TS climate screen and in main category control. Show pop-up when status is changed via hard control and currently shown screen is not climate screen. When on climate screen, user can either use Fan up/down (minus/plus) buttons, directly touch a fan segment to jump or slide, or use Hard Control. The user shall not be able to turn the FAN off by using the FAN controls on the screen or the FAN hard control. There would always be one bar highlighted. The only way to have all FAN bars grayed out is by shutting the CLIMATE system OFF (using climate power button on the screen or hard control).
2.7.1	SWE1-HVAC-011	Temperature and Fan	C6.1) In some vehicles fan speed ranges for front hvac are: Off, 1-8.
2.8	SWE1-HVAC-012	Airflow and Defrost	C7.) Defrost has on/ off state. Defrost can automatically turn on AC (do not show this change). Defrost automatically changes Fan speed. Defrost is mutually exclusive with other airflow modes. Auto turns Defrost off. Turning Defrost on while in Auto will break Auto and turn it off. When Defrost is active, Recirc is may or may not be available (reflect in recirc availability status). Therefore, gray out the RECIRC button when recirc availability status from CCM denotes that.
2.9	SWE1-HVAC-013	Airflow and Defrost	C8.) Rear Defrost has on/ off state. REAR DEFROST is not available in certain modes. Therefore, gray out the REAR DEFROST button when rear defrost availability status from CCM denotes that. Rear defrost is independent of any other climate functions. Rear Defrost automatically turns on EXTERIOR REAR-VIEW MIRROR DEFROST if this feature available.
