sheet	row	col	text	class	去向	lint_detail
Test Case Specification&Result	10	proc	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	10	proc	5. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	11	proc	1. Apply each ignition working condition listed in Input Test Data in turn by se	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	11	proc	2. After each one, read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and che	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	14	proc	2. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	17	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	賦值未寫成 `<MSG>.<Sig> = <raw> (<label>)`：'STATUS_BH_BCM2.RemStActvSts ='
Test Case Specification&Result	17	proc	"1. Send the signal STATUS_BH_BCM2.RemStActvSts = ""Remote Start Active"""	ReviseC	Revise-C：CFTS 回查	Procedure 之 CAN 賦值行缺 `Send CAN:` 前綴（R-1 v2(a)）
Test Case Specification&Result	17	proc	2. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	17	proc	5. Check whether $TELEMATIC_FD_5.CM_TCH_STAT$ is 1 (TCH_PSD) with coordinates	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$TELEMATIC_FD_5.CM_TCH_STAT$'
Test Case Specification&Result	20	proc	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and record the value as	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	20	proc	3. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	21	pre	2. $STATUS_BH_BCM1.OperationalModeSts$ = 2 (Ignition_Off) (DR-PW26)	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_BH_BCM1.OperationalModeSts$'
Test Case Specification&Result	21	proc	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 2 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	21	proc	3. Hold for the $BCM_FD_27.Comfort_Enable_Time$ value with no phone call active	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$BCM_FD_27.Comfort_Enable_Time$'
Test Case Specification&Result	21	proc	4. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is 1 	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
Test Case Specification&Result	21	er	3. The $BCM_FD_27.Comfort_Enable_Time$ value elapses with no phone call active	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$BCM_FD_27.Comfort_Enable_Time$'
Test Case Specification&Result	24	proc	1. Read the signal $STATUS_TELEMATIC.PowerSts_Telematic$ and check that it is th	bare-$	Revise-C：逐 TC 回查 CFTS 原句取 raw (label)，查無登 DR	v3 記法殘留（R-G70(h)：`$` 包覆式已撤銷）'$STATUS_TELEMATIC.PowerSts_Telematic$'
