B	_seq	_src	C	D	G	H	I	J	K	L	M	N	P	R	AA	AH	F
244	268	vf230_batch01.json	Suspension Service Mode	SWE1-VC-SuspensionServiceMode-004	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Suspension Service Mode customer setting status to OFF in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Suspension Service Mode setting is displayed as Off -> The Suspension Service Mode setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Suspension Service Mode"" customer setting is set to On"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Suspension Service Mode"" customer setting to Off and check that TELEMATIC_VEHICLE_SETUP.Susp_Tire_Jack_Req = 0 (Off) is transmitted
3. Read the Vehicle Settings menu and check that the Suspension Service Mode setting is displayed as Off"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Susp_Tire_Jack_Req = 0 (Off) is sent
3. The Suspension Service Mode setting is displayed as Off"	VF230_V1_PHDCC27_VF_5874	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	⚠ **條文自身不一致**：其動作句為 `chooses to enable`，而其 `value` 與結論句皆為 `Off`（極性相反）。依 **V23 §4.2**（A-VF18 之處置）**以結論句為準**，本條驗 `Off`；**不自行調和二者**。已開 **DR-38**。	
245	269	vf230_batch01.json	Blind Spot with Trailer Detection	SWE1-VC-Blind Spot with Trailer Detection-047	Vehicle Setting	Trailer and Signage	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Blind Spot with Trailer Detection setting is displayed as Auto -> The Blind Spot with Trailer Detection setting is displayed as Auto)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Blind Spot with Trailer Detection"" customer setting is set to Max"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Blind Spot with Trailer Detection"" customer setting to Auto and check that TELEMATIC_VEHICLE_SETUP.Trailer_detection_blind_spot_Req = 0 (Auto) is transmitted
3. Read the Vehicle Settings menu and check that the Blind Spot with Trailer Detection setting is displayed as Auto"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Trailer_detection_blind_spot_Req = 0 (Auto) is sent
3. The Blind Spot with Trailer Detection setting is displayed as Auto"	VF230_V1_PDT27_VF_6580	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
246	270	vf230_batch01.json	Power Liftgate/Tailgate Alert	SWE1-VC-PowerLiftgate/TailgateAlert-019	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value as [On] via signal, $TELEMATIC_VEHICLE_SETUP.PLGAlert_Req$, Then the HMI shall display the Power Liftgate Alert status as On.

(read the Vehicle Settings menu and check that the Power Liftgate/Tailgate Alert setting is displayed as On -> The Power Liftgate/Tailgate Alert setting is displayed as On)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Power Liftgate/Tailgate Alert"" customer setting is set to Off"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Power Liftgate/Tailgate Alert"" customer setting to On and check that TELEMATIC_VEHICLE_SETUP.PLGAlert_Req = 1 (On) is transmitted
3. Read the Vehicle Settings menu and check that the Power Liftgate/Tailgate Alert setting is displayed as On"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.PLGAlert_Req = 1 (On) is sent
3. The Power Liftgate/Tailgate Alert setting is displayed as On"	VF230_V1_PDT27_VF_5853	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
247	271	vf230_batch01.json	Blind Spot Alert	SWE1-VC-BlindSpotAlert-005	Vehicle Setting	Driver Convenience	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Enable_LED -> The Blind Spot Alert setting is displayed as Enable_LED)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Blind Spot Alert"" customer setting is set to Not_Enable"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Blind Spot Alert"" customer setting to Enable_LED and check that TELEMATIC_VEHICLE_SETUP.BSDEnable_Req = 1 (Enable_LED) is transmitted
3. Read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Enable_LED"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.BSDEnable_Req = 1 (Enable_LED) is sent
3. The Blind Spot Alert setting is displayed as Enable_LED"	VF230_V1_PHDCC27_VF_5705	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
248	272	vf230_batch01.json	Suspension Service Mode	SWE1-VC-SuspensionServiceMode-005	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Suspension Service Mode customer setting status to ON in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Suspension Service Mode setting is displayed as On -> The Suspension Service Mode setting is displayed as On)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Suspension Service Mode"" customer setting is set to Off"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Suspension Service Mode"" customer setting to On and check that TELEMATIC_VEHICLE_SETUP.Susp_Tire_Jack_Req = 1 (On) is transmitted
3. Read the Vehicle Settings menu and check that the Suspension Service Mode setting is displayed as On"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Susp_Tire_Jack_Req = 1 (On) is sent
3. The Suspension Service Mode setting is displayed as On"	VF230_V1_PHDCC27_VF_5875	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
249	273	vf230_batch01.json	Blind Spot with Trailer Detection	SWE1-VC-Blind Spot with Trailer Detection-048	Vehicle Setting	Trailer and Signage	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Blind Spot with Trailer Detection setting is displayed as Max -> The Blind Spot with Trailer Detection setting is displayed as Max)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Blind Spot with Trailer Detection"" customer setting is set to Auto"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Blind Spot with Trailer Detection"" customer setting to Max and check that TELEMATIC_VEHICLE_SETUP.Trailer_detection_blind_spot_Req = 1 (Max) is transmitted
3. Read the Vehicle Settings menu and check that the Blind Spot with Trailer Detection setting is displayed as Max"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Trailer_detection_blind_spot_Req = 1 (Max) is sent
3. The Blind Spot with Trailer Detection setting is displayed as Max"	VF230_V1_PDT27_VF_6581	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
250	274	vf230_batch01.json	Power Liftgate/Tailgate Alert	SWE1-VC-PowerLiftgate/TailgateAlert-020	Vehicle Setting	Approach and Tailgate	"When the LTM or ETM receives the value via signal, $IPC_VEHICLE_SETUP.PLGAlert$, Then the LTM or ETM shall update the Power Liftgate Alert setting status information on the display within the defined system response time.

(read the Vehicle Settings menu and check that the Power Liftgate/Tailgate Alert setting is displayed as Off -> The Power Liftgate/Tailgate Alert setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.PLGAlert = one of [0 (Off), 1 (On)]	"1. Send CAN: IPC_VEHICLE_SETUP.PLGAlert = 1 (On)
2. Send CAN: IPC_VEHICLE_SETUP.PLGAlert = 0 (Off)
3. Read the Vehicle Settings menu and check that the Power Liftgate/Tailgate Alert setting is displayed as Off"	"1. IPC_VEHICLE_SETUP.PLGAlert = 1 (On) is sent
2. IPC_VEHICLE_SETUP.PLGAlert = 0 (Off) is sent
3. The Power Liftgate/Tailgate Alert setting is displayed as Off"	VF230_V1_PDT27_VF_5854	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
251	275	vf230_batch01.json	Blind Spot Alert	SWE1-VC-BlindSpotAlert-006	Vehicle Setting	Driver Convenience	"The HMI layer shall maintain/update the displayed setting according to the requested value and any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Enable_ LED_Chime -> The Blind Spot Alert setting is displayed as Enable_ LED_Chime)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Blind Spot Alert"" customer setting is set to Not_Enable"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Blind Spot Alert"" customer setting to Enable_ LED_Chime and check that TELEMATIC_VEHICLE_SETUP.BSDEnable_Req = 2 (Enable_ LED_Chime) is transmitted
3. Read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Enable_ LED_Chime"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.BSDEnable_Req = 2 (Enable_ LED_Chime) is sent
3. The Blind Spot Alert setting is displayed as Enable_ LED_Chime"	VF230_V1_PHDCC27_VF_5706	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
252	276	vf230_batch01.json	Blind Spot Alert	SWE1-VC-BlindSpotAlert-007	Vehicle Setting	Driver Convenience	"Any invalid value shall be considered invalid by HMI.

(read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Not_Enable -> The Blind Spot Alert setting is displayed as Not_Enable)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.BSDEnable = one of [0 (Not_Enable), 1 (Enable_LED), 2 (Enable_ LED_Chime)]	"1. Send CAN: IPC_VEHICLE_SETUP.BSDEnable = 1 (Enable_LED)
2. Send CAN: IPC_VEHICLE_SETUP.BSDEnable = 0 (Not_Enable)
3. Read the Vehicle Settings menu and check that the Blind Spot Alert setting is displayed as Not_Enable"	"1. IPC_VEHICLE_SETUP.BSDEnable = 1 (Enable_LED) is sent
2. IPC_VEHICLE_SETUP.BSDEnable = 0 (Not_Enable) is sent
3. The Blind Spot Alert setting is displayed as Not_Enable"	VF230_V1_PHDCC27_VF_5707	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
253	277	vf230_batch01.json	Lane Sense Warning	SWE1-VC-LaneSenseWarning-019	Vehicle Setting	Lane and Lighting	"The HW Supplier / ECU shall send the updated Lane Sense Warning status via the IPC_VEHICLE_SETUP.LDW_Sensibility signal.

(read the Vehicle Settings menu and check that the Lane Sense Warning setting is displayed as Early -> The Lane Sense Warning setting is displayed as Early)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.LDW_Sensibility = one of [0 (Early), 1 (Med), 2 (Late)]	"1. Send CAN: IPC_VEHICLE_SETUP.LDW_Sensibility = 1 (Med)
2. Send CAN: IPC_VEHICLE_SETUP.LDW_Sensibility = 0 (Early)
3. Read the Vehicle Settings menu and check that the Lane Sense Warning setting is displayed as Early"	"1. IPC_VEHICLE_SETUP.LDW_Sensibility = 1 (Med) is sent
2. IPC_VEHICLE_SETUP.LDW_Sensibility = 0 (Early) is sent
3. The Lane Sense Warning setting is displayed as Early"	VF230_V1_PHDCC27_VF_5622	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
254	278	vf230_batch01.json	Driver Easy Exit Seat	SWE1-VC-DriverEasyExitSeat-038	Vehicle Setting	Suspension and Comfort	"When the HMI receives the value as Absent via signal, $Easy_Entry_Menu$, Then the HMI shall not display the Driver Easy Exit Seat customer setting in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the ""Driver Easy Exit Seat"" customer setting is not displayed -> The ""Driver Easy Exit Seat"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $Easy_Entry_Menu$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Driver Easy Exit Seat"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Driver Easy Exit Seat"" customer setting is not displayed"	VF230_V1_PDT27_VF_3517	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
255	279	vf230_batch01.json	Power Side Step	SWE1-VC-PowerSideStep-051	Vehicle Setting	Trailer and Signage	"If CAN node 97 = [Absent], the LTM or ETM shall not display the Power Side Step customer setting.

(read the Vehicle Settings menu and check that the ""Power Side Step"" customer setting is not displayed -> The ""Power Side Step"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $CAN node 97$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Power Side Step"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Power Side Step"" customer setting is not displayed"	VF230_V1_PDT27_VF_6064	P0	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	"Upstream Verification Criteria: Scenario of checking PROXI parameter is not clear
Upstream Verification Method: Scenario of checking PROXI parameter is not clear"	
